"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","32-206","SAS","","MIN","W (+4)","0","21:47","3","6",".500","2","4",".500","2","2","1.000","0","4","4","2","0","0","1","1","10","8.2","+3",".727",".667","0.0","18.8","9.0","13.2","0.0","0.0","12.7","14.7","141","113"
"2","2","2018-10-20","32-209","SAS","@","POR","L (-13)","0","16:31","0","6",".000","0","1",".000","2","3",".667","0","1","1","3","0","0","0","3","2","-1.4","+5",".137",".000","0.0","8.8","3.4","20.8","0.0","0.0","0.0","19.0","58","134"
"3","3","2018-10-22","32-211","SAS","@","LAL","W (+1)","0","23:20","5","9",".556","3","6",".500","2","2","1.000","0","1","1","1","2","0","2","1","15","11.3","-2",".759",".722","0.0","4.5","2.3","5.9","4.0","0.0","16.8","22.0","119","121"
"4","4","2018-10-24","32-213","SAS","","IND","L (-20)","0","20:26","5","11",".455","2","5",".400","4","4","1.000","0","2","2","0","1","1","0","1","16","12.2","-15",".627",".545","0.0","13.1","5.5","0.0","2.5","4.3","0.0","27.4","137","118"
"5","5","2018-10-27","32-216","SAS","","LAL","W (+4)","0","22:51","3","10",".300","0","5",".000","2","2","1.000","0","0","0","1","0","0","1","1","8","1.5","0",".368",".300","0.0","0.0","0.0","5.6","0.0","0.0","8.4","21.8","78","112"
"6","6","2018-10-29","32-218","SAS","","DAL","W (+5)","0","23:16","5","12",".417","2","6",".333","1","1","1.000","0","3","3","1","2","0","0","3","13","9.0","+21",".523",".500","0.0","15.5","7.6","7.4","4.1","0.0","0.0","24.2","101","96"
"7","7","2018-10-31","32-220","SAS","@","PHO","W (+30)","0","23:18","5","14",".357","1","6",".167","3","4",".750","1","3","4","2","0","0","3","1","14","5.4","+12",".444",".393","6.1","12.9","10.0","11.5","0.0","0.0","16.0","35.6","84","94"
"8","8","2018-11-03","32-223","SAS","","NOP","W (+14)","0","27:12","6","10",".600","1","3",".333","1","2",".500","1","2","3","2","2","0","1","2","14","11.9","+26",".643",".650","3.5","8.6","5.8","10.3","3.5","0.0","8.4","18.9","119","94"
"9","9","2018-11-04","32-224","SAS","","ORL","L (-7)","0","21:02","4","9",".444","2","5",".400","5","5","1.000","0","3","3","2","0","0","0","2","15","11.8","-12",".670",".556","0.0","15.6","8.0","15.8","0.0","0.0","0.0","23.2","146","126"
"10","10","2018-11-07","32-227","SAS","@","MIA","L (-7)","0","27:36","3","13",".231","2","6",".333","0","0","","0","0","0","3","2","0","2","1","8","1.8","+1",".308",".308","0.0","0.0","0.0","20.2","3.6","0.0","13.3","23.3","63","102"
"11","11","2018-11-10","32-230","SAS","","HOU","W (+7)","0","18:11","3","7",".429","2","4",".500","0","0","","1","1","2","2","0","0","0","1","8","6.3","-17",".571",".571","6.3","5.0","5.6","21.1","0.0","0.0","0.0","18.3","129","106"
"12","12","2018-11-12","32-232","SAS","@","SAC","L (-5)","0","18:22","1","4",".250","0","2",".000","1","2",".500","0","0","0","1","0","0","1","1","3","-0.5","-1",".307",".250","0.0","0.0","0.0","7.4","0.0","0.0","17.0","14.1","61","114"
"13","13","2018-11-14","32-234","SAS","@","PHO","L (-20)","0","25:26","4","12",".333","2","6",".333","0","0","","0","3","3","1","1","1","0","0","10","6.5","-7",".417",".417","0.0","16.2","7.0","6.9","1.9","3.6","0.0","20.3","96","117"
