"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-226","DEN","@","LAC","W (+9)","0","13:22","1","3",".333","0","0","","0","2",".000","1","2","3","2","0","3","1","5","2","1.3","0",".258",".333","6.9","14.1","10.5","24.4","0.0","18.0","20.5","15.2","67","90"
"2","2","2018-10-20","28-229","DEN","","PHO","W (+28)","0","13:49","2","4",".500","0","1",".000","0","1",".000","3","4","7","0","1","0","1","3","4","3.7","-8",".450",".500","26.7","25.3","25.9","0.0","3.4","0.0","18.4","16.3","98","84"
"3","3","2018-10-21","28-230","DEN","","GSW","W (+2)","0","15:36","4","6",".667","0","0","","3","5",".600","1","1","2","2","1","0","2","3","11","7.8","+6",".671",".667","6.5","7.7","7.1","27.1","3.1","0.0","19.6","27.9","113","101"
"4","4","2018-10-23","28-232","DEN","","SAC","W (+14)","0","20:46","5","7",".714","0","0","","1","2",".500","4","3","7","2","3","0","2","3","11","12.6","+5",".698",".714","20.5","16.1","18.4","11.7","6.9","0.0","20.2","19.4","127","101"
"5","5","2018-10-25","28-234","DEN","@","LAL","L (-7)","0","14:50","5","6",".833","0","0","","0","1",".000","2","1","3","1","1","0","1","2","10","9.0","+1",".776",".833","15.1","7.5","11.3","10.9","3.1","0.0","13.4","20.1","136","114"
"6","6","2018-10-29","28-238","DEN","","NOP","W (+5)","0","18:30","1","2",".500","0","0","","0","0","","3","2","5","1","2","0","4","1","2","2.0","+4",".500",".500","16.9","13.3","15.3","6.6","5.0","0.0","66.7","13.4","65","103"
"7","7","2018-10-31","28-240","DEN","@","CHI","W (+1)","0","20:13","6","7",".857","0","0","","1","5",".200","1","3","4","1","1","1","1","2","13","11.1","-3",".707",".857","5.2","16.1","10.6","9.0","2.6","4.5","9.8","21.8","122","102"
"8","8","2018-11-01","28-241","DEN","@","CLE","W (+19)","0","21:43","5","8",".625","0","0","","1","1","1.000","1","5","6","3","1","1","1","4","11","10.8","+16",".652",".625","6.1","25.7","16.8","22.1","2.5","3.4","10.6","19.6","137","97"
"9","9","2018-11-03","28-243","DEN","","UTA","W (+15)","0","17:09","3","5",".600","1","1","1.000","0","2",".000","1","5","6","1","1","0","2","4","7","4.2","+9",".595",".700","7.4","28.0","19.1","8.6","2.9","0.0","25.4","20.4","85","86"
"10","10","2018-11-05","28-245","DEN","","BOS","W (+8)","0","17:29","1","4",".250","0","0","","0","4",".000","4","3","7","1","1","0","1","1","2","2.0","+10",".174",".250","22.9","21.1","22.1","7.2","2.8","0.0","14.8","16.1","71","108"
"11","11","2018-11-07","28-247","DEN","@","MEM","L (-2)","0","22:24","4","6",".667","0","0","","2","2","1.000","3","3","6","1","2","1","2","4","10","10.2","-2",".727",".667","15.7","17.9","16.7","9.1","4.9","4.4","22.5","17.9","122","92"
"12","12","2018-11-09","28-249","DEN","","BRK","L (-2)","0","14:48","1","2",".500","0","0","","2","4",".500","0","3","3","2","0","0","0","4","4","2.9","-7",".532",".500","0.0","19.1","10.1","17.6","0.0","0.0","0.0","10.7","130","114"
"13","13","2018-11-11","28-251","DEN","","MIL","L (-7)","0","15:10","0","1",".000","0","1",".000","1","2",".500","0","1","1","2","0","1","0","2","1","1.5","+10",".266",".000","0.0","9.3","4.0","15.4","0.0","6.3","0.0","5.5","108","127"
"14","14","2018-11-13","28-253","DEN","","HOU","L (-10)","0","14:11","1","4",".250","0","0","","2","4",".500","2","0","2","4","1","0","0","4","4","4.4","+4",".347",".250","20.5","0.0","10.7","39.1","3.8","0.0","0.0","19.7","119","121"
"15","15","2018-11-15","28-255","DEN","","ATL","W (+45)","0","12:09","2","3",".667","0","0","","2","2","1.000","1","4","5","1","0","0","3","3","6","3.1","-7",".773",".667","10.1","26.3","20.0","8.8","0.0","0.0","43.6","22.7","95","88"
"16","16","2018-11-17","28-257","DEN","@","NOP","L (-10)","0","12:54","2","4",".500","0","0","","0","0","","1","4","5","1","3","1","1","4","4","5.7","-3",".500",".500","8.1","34.6","20.9","9.7","11.0","6.0","20.0","16.4","95","93"
"17","17","2018-11-19","28-259","DEN","@","MIL","L (-6)","0","15:26","2","3",".667","0","0","","1","2",".500","3","2","5","1","0","2","2","2","5","5.3","+10",".644",".667","18.3","14.5","16.5","9.2","0.0","12.0","34.0","15.9","100","104"
"18","18","2018-11-21","28-261","DEN","@","MIN","W (+2)","0","17:33","2","3",".667","0","0","","0","0","","1","3","4","7","3","1","1","3","4","10.7","+4",".667",".667","6.7","21.0","13.7","52.4","8.6","5.8","25.0","10.5","149","89"
"19","19","2018-11-23","28-263","DEN","","ORL","W (+25)","0","20:52","6","8",".750","0","0","","3","3","1.000","3","8","11","4","2","2","0","3","15","21.3","+23",".805",".750","15.3","42.8","28.8","30.5","4.8","9.8","0.0","19.2","177","75"
"20","20","2018-11-24","28-264","DEN","@","OKC","W (+7)","0","20:49","4","8",".500","0","0","","3","6",".500","3","4","7","2","0","4","2","4","11","9.7","-8",".517",".500","13.8","15.9","14.9","15.5","0.0","14.4","15.8","24.4","102","94"
"21","21","2018-11-27","28-267","DEN","","LAL","W (+32)","0","20:42","5","7",".714","0","0","","0","0","","5","5","10","1","1","1","1","3","10","12.3","+12",".714",".714","24.7","22.3","23.4","6.5","2.4","4.5","12.5","16.2","143","82"
"22","22","2018-11-30","28-270","DEN","@","POR","W (+1)","0","14:14","1","3",".333","0","0","","1","2",".500","2","1","3","3","2","1","0","3","3","6.2","-7",".387",".333","15.0","8.4","11.9","27.6","7.2","5.4","0.0","12.0","133","107"
"23","23","2018-12-03","28-273","DEN","@","TOR","W (+3)","0","18:33","2","6",".333","0","0","","0","2",".000","3","5","8","1","2","2","2","4","4","3.9","-1",".291",".333","15.8","31.6","23.0","7.4","5.1","11.3","22.5","19.2","66","85"
"24","24","2018-12-05","28-275","DEN","@","ORL","W (+6)","0","19:46","3","3","1.000","0","0","","5","10",".500","1","6","7","4","0","1","1","3","11","11.9","-3",".743","1.000","7.1","35.8","22.6","29.0","0.0","5.8","11.9","20.8","146","112"
"25","25","2018-12-07","28-277","DEN","@","CHO","L (-6)","0","20:09","3","5",".600","0","0","","1","2",".500","3","4","7","2","0","2","1","5","7","7.4","-12",".595",".600","13.0","19.9","16.2","15.0","0.0","9.3","14.5","13.5","123","117"
"26","26","2018-12-08","28-278","DEN","@","ATL","L (-8)","0","19:23","3","5",".600","0","0","","0","0","","2","1","3","5","1","0","5","2","6","4.1","0",".600",".600","9.3","5.4","7.5","43.3","2.3","0.0","50.0","20.4","76","103"
"27","27","2018-12-10","28-280","DEN","","MEM","W (+6)","1","35:12","5","9",".556","0","0","","2","4",".500","5","5","10","1","1","2","3","3","12","10.8","-2",".558",".556","17.5","19.5","18.4","4.2","1.6","5.8","21.8","18.7","105","112"
"28","28","2018-12-14","28-284","DEN","","OKC","W (+11)","1","19:38","3","7",".429","0","0","","0","0","","2","2","4","3","1","3","2","6","6","5.1","0",".429",".429","13.6","8.9","10.7","21.2","2.6","10.3","22.2","20.1","95","97"
"29","29","2018-12-16","28-286","DEN","","TOR","W (+9)","1","26:37","4","8",".500","0","0","","2","2","1.000","1","6","7","2","1","0","1","5","10","7.9","+15",".563",".500","3.8","23.0","13.3","12.5","2.0","0.0","10.1","17.8","113","93"
"30","30","2018-12-18","28-288","DEN","","DAL","W (+8)","1","33:56","5","8",".625","0","0","","1","2",".500","1","8","9","3","0","0","1","4","11","9.6","-1",".619",".625","3.6","27.6","15.9","9.9","0.0","0.0","10.1","12.4","127","122"
"31","31","2018-12-22","28-292","DEN","@","LAC","L (-21)","1","29:59","3","8",".375","0","0","","2","4",".500","2","7","9","4","2","0","3","4","8","6.5","-17",".410",".375","5.7","30.3","15.5","17.7","3.2","0.0","23.5","17.5","83","126"
"32","32","2018-12-26","28-296","DEN","@","SAS","L (-8)","1","29:10","3","5",".600","0","0","","1","5",".200","2","4","6","3","2","1","2","1","7","8.1","-8",".486",".600","6.1","15.3","10.2","16.4","3.3","2.8","21.7","13.5","92","107"
"33","33","2018-12-28","28-298","DEN","","SAS","W (+3)","1","32:04","1","3",".333","0","0","","1","2",".500","6","6","12","3","0","1","2","2","3","6.9","-5",".387",".333","21.4","18.7","20.0","12.0","0.0","2.4","34.0","7.8","105","106"
"34","34","2018-12-29","28-299","DEN","@","PHO","W (+4)","1","21:35","3","5",".600","0","0","","1","2",".500","4","4","8","3","1","0","5","1","7","6.0","+9",".595",".600","25.4","21.2","23.1","18.9","2.3","0.0","46.0","22.3","93","120"
"35","35","2019-01-01","28-302","DEN","","NYK","W (+7)","1","23:47","4","5",".800","0","0","","0","0","","1","6","7","2","2","0","0","4","8","10.4","-1",".800",".800","4.6","23.3","14.7","11.2","4.4","0.0","0.0","8.9","172","108"
"36","36","2019-01-03","28-304","DEN","@","SAC","W (+4)","1","29:49","5","7",".714","0","0","","2","4",".500","5","5","10","4","1","1","1","5","12","14.8","+12",".685",".714","19.2","17.9","18.5","19.5","1.7","2.7","10.2","13.5","150","113"
"37","37","2019-01-05","28-306","DEN","","CHO","W (+13)","1","19:17","4","5",".800","0","0","","0","0","","0","3","3","5","0","3","0","5","8","10.6","-1",".800",".800","0.0","18.2","8.0","33.6","0.0","14.1","0.0","10.6","180","110"
"38","38","2019-01-07","28-308","DEN","@","HOU","L (-12)","0","15:20","2","2","1.000","0","0","","2","3",".667","0","3","3","1","2","0","2","2","6","5.8","+5",".904","1.000","0.0","26.1","11.7","8.3","6.3","0.0","37.6","14.3","106","114"
