"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","26-261","DAL","@","PHO","L (-21)","0","16:45","3","3","1.000","2","2","1.000","0","0","","0","2","2","0","0","0","1","1","8","6.3","-3","1.333","1.333","0.0","16.9","7.0","0.0","0.0","0.0","25.0","10.8","139","137"
"2","2","2018-10-20","26-264","DAL","","MIN","W (+4)","0","17:24","2","5",".400","1","4",".250","0","0","","1","3","4","0","0","1","0","3","5","3.4","-2",".500",".500","6.6","25.1","14.7","0.0","0.0","4.8","0.0","10.7","123","126"
"3","3","2018-10-22","26-266","DAL","","CHI","W (+6)","0","19:38","5","9",".556","2","4",".500","0","0","","3","2","5","1","0","1","0","1","12","11.4","+4",".667",".667","18.3","14.0","16.3","8.8","0.0","4.3","0.0","18.8","151","112"
"4","4","2018-10-24","26-268","DAL","@","ATL","L (-7)","0","22:20","3","4",".750","3","3","1.000","2","4",".500","1","3","4","0","0","3","1","1","11","10.9","+11",".955","1.125","4.1","12.2","8.1","0.0","0.0","12.2","14.8","12.2","140","101"
"5","5","2018-10-26","26-270","DAL","@","TOR","L (-9)","0","30:23","2","6",".333","1","4",".250","3","4",".750","1","7","8","1","2","4","0","0","8","12.5","-1",".515",".417","3.3","24.0","13.4","4.5","3.1","9.9","0.0","10.5","119","103"
"6","6","2018-10-28","26-272","DAL","","UTA","L (-9)","0","13:13","4","8",".500","1","4",".250","2","3",".667","1","2","3","0","0","0","1","1","11","6.5","-5",".590",".563","7.7","18.6","12.7","0.0","0.0","0.0","9.7","32.6","107","117"
"7","7","2018-10-29","26-273","DAL","@","SAS","L (-5)","0","16:07","0","4",".000","0","4",".000","0","0","","2","2","4","0","1","1","2","2","0","-1.9","-10",".000",".000","14.9","14.3","14.6","0.0","3.0","4.6","33.3","16.4","23","95"
"8","8","2018-10-31","26-275","DAL","@","LAL","L (-1)","0","20:05","2","3",".667","0","1",".000","0","0","","1","4","5","1","0","3","1","0","4","6.4","+20",".667",".667","5.8","25.2","15.1","6.3","0.0","10.7","25.0","8.1","113","102"
"9","9","2018-11-02","26-277","DAL","","NYK","L (-12)","0","13:14","4","7",".571","1","3",".333","0","0","","1","2","3","1","0","0","1","2","9","5.9","-5",".643",".643","8.8","18.6","13.6","14.2","0.0","0.0","12.5","26.5","118","124"
"10","10","2018-11-06","26-281","DAL","","WAS","W (+19)","0","16:26","0","4",".000","0","3",".000","2","2","1.000","1","1","2","0","0","0","0","2","2","-0.6","+11",".205",".000","7.9","6.5","7.1","0.0","0.0","0.0","0.0","12.9","67","107"
"11","11","2018-11-07","26-282","DAL","@","UTA","L (-15)","0","13:36","1","4",".250","0","2",".000","0","0","","1","2","3","0","0","1","0","1","2","1.2","+1",".250",".250","9.0","15.7","12.6","0.0","0.0","6.8","0.0","12.3","73","114"
"12","12","2018-11-10","26-285","DAL","","OKC","W (+15)","0","26:02","3","7",".429","2","6",".333","0","0","","2","2","4","3","0","3","0","4","8","8.9","+20",".571",".571","11.9","6.1","8.1","14.8","0.0","8.8","0.0","12.8","136","107"
