"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","22-048","PHO","","DAL","W (+21)","0","0:11","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","116"
"2","2","2018-10-20","22-051","PHO","@","DEN","L (-28)","0","14:48","4","6",".667","2","4",".500","0","1",".000","1","3","4","2","2","0","0","0","10","12.0","+21",".776",".833","5.9","24.9","13.8","40.5","6.3","0.0","0.0","18.7","150","104"
"3","3","2018-10-22","22-053","PHO","@","GSW","L (-20)","0","15:50","1","5",".200","1","4",".250","2","2","1.000","0","1","1","0","0","0","0","2","5","1.4","-7",".425",".300","0.0","7.6","3.6","0.0","0.0","0.0","0.0","15.5","98","125"
"4","4","2018-10-24","22-055","PHO","","LAL","L (-18)","0","13:56","1","2",".500","0","1",".000","0","0","","0","0","0","1","2","0","0","0","2","3.7","0",".500",".500","0.0","0.0","0.0","8.5","6.7","0.0","0.0","6.1","120","118"
"5","5","2018-10-27","22-058","PHO","@","MEM","L (-21)","0","24:17","2","8",".250","1","3",".333","2","2","1.000","1","5","6","2","0","0","1","3","7","3.6","-6",".394",".313","4.8","29.9","16.0","12.3","0.0","0.0","10.1","18.5","85","122"
"6","6","2018-10-28","22-059","PHO","@","OKC","L (-7)","0","21:44","3","7",".429","1","4",".250","2","2","1.000","0","1","1","0","2","0","4","5","9","1.6","+16",".571",".500","0.0","5.1","2.5","0.0","4.2","0.0","33.7","21.9","73","108"
"7","7","2018-10-31","22-062","PHO","","SAS","L (-30)","0","27:12","6","9",".667","1","2",".500","3","4",".750","0","1","1","3","2","0","1","2","16","14.3","-13",".743",".722","0.0","5.2","2.2","21.7","3.5","0.0","8.5","18.4","136","117"
"8","8","2018-11-02","22-064","PHO","","TOR","L (-9)","0","10:55","1","3",".333","0","1",".000","0","0","","0","1","1","0","1","0","0","1","2","1.2","+1",".333",".333","0.0","10.2","5.0","0.0","4.5","0.0","0.0","11.6","74","103"
"9","9","2018-11-04","22-066","PHO","","MEM","W (+2)","0","25:41","5","6",".833","4","5",".800","0","0","","0","1","1","0","2","1","1","3","14","12.6","+5","1.167","1.167","0.0","4.6","2.8","0.0","4.1","3.5","14.3","13.2","154","104"
"10","10","2018-11-06","22-068","PHO","","BRK","L (-22)","0","27:38","2","7",".286","2","5",".400","0","0","","0","1","1","1","0","0","0","1","6","2.5","-16",".429",".429","0.0","3.3","1.7","7.1","0.0","0.0","0.0","11.1","92","114"
