"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","30-093","LAC","","DEN","L (-9)","0","3:59","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-6",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.9","0","118"
"2","2","2018-10-19","30-095","LAC","","OKC","W (+16)","0","4:21","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","1","0","1.0","+4","","","0.0","0.0","0.0","63.1","0.0","0.0","","0.0","231","103"
"3","3","2018-10-21","30-097","LAC","","HOU","W (+3)","0","10:20","1","1","1.000","1","1","1.000","0","0","","1","2","3","0","0","0","0","1","3","3.6","+1","1.500","1.500","11.3","21.6","16.6","0.0","0.0","0.0","0.0","4.1","269","118"
"4","4","2018-10-23","30-099","LAC","@","NOP","L (-7)","0","11:09","1","1","1.000","0","0","","0","0","","0","1","1","1","0","0","0","1","2","2.3","+1","1.000","1.000","0.0","8.6","4.5","11.7","0.0","0.0","0.0","3.7","203","117"
"5","5","2018-10-26","30-102","LAC","@","HOU","W (+20)","0","19:02","3","7",".429","0","2",".000","0","0","","0","1","1","2","2","0","0","3","6","4.8","+10",".429",".429","0.0","4.6","2.9","14.2","4.9","0.0","0.0","15.9","102","108"
"6","6","2018-10-28","30-104","LAC","","WAS","W (+32)","0","19:03","4","5",".800","3","3","1.000","0","0","","0","3","3","2","0","0","0","3","11","10.2","+13","1.100","1.100","0.0","13.3","7.4","11.0","0.0","0.0","0.0","10.3","216","103"
"7","7","2018-10-30","30-106","LAC","@","OKC","L (-18)","0","11:55","2","4",".500","1","3",".333","0","0","","0","4","4","0","1","0","2","3","5","2.0","+1",".625",".625","0.0","39.3","20.4","0.0","3.7","0.0","33.3","20.7","74","108"
"8","8","2018-11-01","30-108","LAC","@","PHI","L (-9)","0","9:50","1","1","1.000","1","1","1.000","0","0","","1","3","4","0","0","0","1","3","3","2.1","-14","1.500","1.500","11.9","33.3","23.0","0.0","0.0","0.0","50.0","8.2","126","114"
"9","9","2018-11-02","30-109","LAC","@","ORL","W (+25)","0","22:47","1","4",".250","1","4",".250","0","0","","0","5","5","4","1","0","0","1","3","5.5","+16",".375",".375","0.0","21.9","11.7","21.7","2.1","0.0","0.0","7.4","120","93"
"10","10","2018-11-05","30-112","LAC","","MIN","W (+11)","0","16:55","3","4",".750","2","3",".667","0","0","","0","4","4","2","0","0","0","3","8","7.8","+11","1.000","1.000","0.0","29.9","14.0","16.5","0.0","0.0","0.0","10.3","199","114"
"11","11","2018-11-08","30-115","LAC","@","POR","L (-11)","0","19:06","1","5",".200","0","3",".000","0","0","","0","4","4","0","0","1","0","3","2","-0.4","-3",".200",".200","0.0","20.9","10.7","0.0","0.0","3.5","0.0","12.0","42","119"
"12","12","2018-11-10","30-117","LAC","","MIL","W (+2)","0","15:38","3","7",".429","3","7",".429","0","0","","0","4","4","1","1","1","1","3","9","6.7","+1",".643",".643","0.0","23.0","12.8","9.5","2.9","5.7","12.5","21.2","111","99"
"13","13","2018-11-12","30-119","LAC","","GSW","W (+5)","0","16:56","3","5",".600","0","1",".000","0","0","","0","7","7","0","1","0","0","1","6","6.4","+6",".600",".600","0.0","40.6","23.1","0.0","2.8","0.0","0.0","12.9","115","98"
"14","14","2018-11-15","30-122","LAC","","SAS","W (+5)","0","13:58","2","4",".500","1","2",".500","0","0","","1","2","3","0","0","0","2","6","5","-0.1","+4",".625",".625","8.8","12.3","10.9","0.0","0.0","0.0","33.3","18.3","84","114"
"15","15","2018-11-17","30-124","LAC","@","BRK","W (+8)","0","20:12","3","6",".500","1","1","1.000","2","2","1.000","0","4","4","2","0","0","0","2","9","7.8","+5",".654",".583","0.0","21.6","11.2","11.6","0.0","0.0","0.0","14.4","145","121"
"16","16","2018-11-19","30-126","LAC","@","ATL","W (+8)","0","28:15","6","14",".429","6","12",".500","0","0","","1","6","7","1","1","1","1","1","18","14.1","+22",".643",".643","3.4","19.2","11.5","5.7","1.6","2.7","6.7","19.8","125","110"
"17","17","2018-11-20","30-127","LAC","@","WAS","L (-7)","0","13:34","3","4",".750","3","4",".750","0","0","","0","2","2","0","1","1","2","0","9","7.7","-11","1.125","1.125","0.0","14.7","8.0","0.0","3.4","6.6","33.3","18.6","124","113"
"18","18","2018-11-23","30-130","LAC","","MEM","W (+5)","0","15:53","1","5",".200","1","3",".333","0","0","","2","2","4","0","0","0","2","0","3","-0.1","0",".300",".300","13.6","14.5","14.0","0.0","0.0","0.0","28.6","20.0","60","104"
"19","19","2018-11-25","30-132","LAC","@","POR","W (+4)","0","17:17","0","3",".000","0","3",".000","0","0","","0","1","1","2","1","0","0","1","0","0.2","-10",".000",".000","0.0","5.2","2.6","14.6","2.9","0.0","0.0","7.6","33","107"
"20","20","2018-11-28","30-135","LAC","","PHO","W (+16)","0","14:20","1","2",".500","0","0","","0","0","","0","2","2","0","0","0","0","0","2","1.6","-11",".500",".500","0.0","14.9","7.4","0.0","0.0","0.0","0.0","5.5","116","102"
"21","21","2018-11-29","30-136","LAC","@","SAC","W (+12)","0","15:13","2","8",".250","1","5",".200","0","0","","0","6","6","1","0","0","1","0","5","1.7","-12",".313",".313","0.0","41.1","22.0","7.2","0.0","0.0","11.1","25.5","65","115"
"22","22","2018-12-02","30-139","LAC","@","DAL","L (-4)","0","14:32","1","6",".167","1","2",".500","0","0","","1","4","5","1","0","0","1","1","3","0.4","+8",".250",".250","6.0","24.9","15.3","8.5","0.0","0.0","14.3","20.2","59","109"
"23","23","2018-12-03","30-140","LAC","@","NOP","W (+3)","0","16:32","1","1","1.000","0","0","","0","0","","0","5","5","2","1","0","0","3","2","4.4","+6","1.000","1.000","0.0","34.6","19.6","12.6","3.0","0.0","0.0","2.7","208","120"
"24","24","2018-12-05","30-142","LAC","@","MEM","L (-10)","0","13:18","0","3",".000","0","2",".000","0","0","","2","4","6","0","0","0","1","2","0","-1.3","-11",".000",".000","14.7","30.7","22.6","0.0","0.0","0.0","25.0","13.4","29","100"
