"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"10","1","2018-11-05","25-094","UTA","","TOR","L (-13)","0","3:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","+11",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.3","0","133"
"37","2","2018-12-29","25-148","UTA","","NYK","W (+32)","0","8:36","1","2",".500","1","2",".500","0","0","","0","0","0","1","0","0","2","2","3","-0.1","-10",".750",".750","0.0","0.0","0.0","12.3","0.0","0.0","50.0","19.2","78","107"
"41","3","2019-01-07","25-157","UTA","@","MIL","L (-12)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","122"
"43","4","2019-01-11","25-161","UTA","","LAL","W (+18)","0","3:01","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","0","2","0.7","-4","1.000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","25.2","64","101"
"46","5","2019-01-16","25-166","UTA","@","LAC","W (+20)","0","2:30","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.7","0","115"
"47","6","2019-01-18","25-168","UTA","","CLE","W (+16)","0","8:17","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","0","0","1.4","-11","","","0.0","0.0","0.0","26.3","0.0","0.0","","0.0","230","104"
"51","7","2019-01-27","25-177","UTA","@","MIN","W (+14)","0","0:45","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","123"
"52","8","2019-01-30","25-180","UTA","@","POR","L (-27)","0","6:40","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-1",".000",".000","0.0","18.5","8.8","0.0","0.0","0.0","0.0","6.5","0","137"
"53","9","2019-02-01","25-182","UTA","","ATL","W (+16)","0","1:35","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-1",".000",".000","0.0","63.2","33.3","0.0","0.0","0.0","0.0","26.3","0","99"
"54","10","2019-02-02","25-183","UTA","","HOU","L (-27)","0","3:19","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","2","0","-0.8","-10",".000",".000","0.0","0.0","0.0","46.7","0.0","0.0","0.0","11.9","51","126"
"73","11","2019-03-23","25-232","UTA","@","CHI","W (+31)","0","5:45","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.0","+1",".333",".333","0.0","0.0","0.0","22.2","0.0","0.0","0.0","22.2","89","94"
"79","12","2019-04-05","25-245","UTA","","SAC","W (+21)","0","3:50","0","0","","0","0","","0","0","","0","0","0","1","0","0","1","0","0","-0.3","-1","","","0.0","0.0","0.0","28.5","0.0","0.0","100.0","11.2","52","103"
"81","13","2019-04-09","25-249","UTA","","DEN","W (+10)","0","1:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-6","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","115"
"82","14","2019-04-10","25-250","UTA","@","LAC","L (-6)","0","33:43","3","9",".333","1","4",".250","2","2","1.000","1","3","4","9","1","1","4","5","9","7.5","-3",".455",".389","2.8","9.1","5.8","33.5","1.3","2.0","28.8","15.9","96","124"
