"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","24-189","OKC","@","GSW","L (-8)","0","12:24","1","2",".500","0","0","","1","2",".500","3","4","7","1","1","1","0","3","3","6.1","-2",".521",".500","20.4","33.7","26.3","13.3","3.8","5.6","0.0","9.2","142","92"
"2","2","2018-10-19","24-192","OKC","@","LAC","L (-16)","0","14:41","4","5",".800","0","0","","1","2",".500","3","2","5","0","1","0","0","2","9","9.6","0",".765",".800","18.5","13.9","16.3","0.0","3.3","0.0","0.0","16.4","160","106"
"3","3","2018-10-21","24-194","OKC","","SAC","L (-11)","0","13:18","3","3","1.000","0","0","","0","0","","3","2","5","0","0","2","0","6","6","6.8","-3","1.000","1.000","20.8","16.0","18.6","0.0","0.0","10.5","0.0","8.0","204","117"
"4","4","2018-10-25","24-198","OKC","","BOS","L (-6)","0","15:10","3","4",".750","0","0","","1","2",".500","2","2","4","0","0","1","0","3","7","6.5","-4",".717",".750","12.4","12.4","12.4","0.0","0.0","5.9","0.0","12.8","153","102"
"5","5","2018-10-28","24-201","OKC","","PHO","W (+7)","1","25:50","9","14",".643","0","0","","2","3",".667","6","9","15","2","4","1","1","3","20","24.2","+19",".653",".643","25.9","38.0","32.0","14.1","7.0","3.1","6.1","26.3","137","88"
"6","6","2018-10-30","24-203","OKC","","LAC","W (+18)","0","8:54","1","3",".333","0","0","","0","0","","0","2","2","0","1","0","0","6","2","-0.5","-5",".333",".333","0.0","28.4","13.7","0.0","4.9","0.0","0.0","13.1","73","95"
"7","7","2018-11-01","24-205","OKC","@","CHO","W (+4)","0","8:39","2","2","1.000","0","0","","0","0","","1","1","2","0","1","1","0","0","4","6.1","-5","1.000","1.000","10.3","12.1","11.1","0.0","5.4","10.7","0.0","9.3","203","94"
"8","8","2018-11-02","24-206","OKC","@","WAS","W (+23)","0","16:47","2","2","1.000","0","0","","5","6",".833","1","6","7","0","1","1","0","3","9","11.0","+7",".970","1.000","9.2","46.4","29.4","0.0","2.8","5.1","0.0","12.0","208","101"
"9","9","2018-11-05","24-209","OKC","","NOP","W (+6)","0","11:07","0","2",".000","0","0","","1","2",".500","3","2","5","1","1","1","0","0","1","4.3","-16",".174",".000","30.1","20.1","25.1","9.6","4.1","7.9","0.0","10.5","107","102"
"10","10","2018-11-07","24-211","OKC","@","CLE","W (+9)","0","13:32","0","1",".000","0","0","","0","0","","0","0","0","1","2","4","1","3","0","2.6","-11",".000",".000","0.0","0.0","0.0","10.1","7.2","24.5","50.0","6.6","24","70"
"11","11","2018-11-08","24-212","OKC","","HOU","W (+18)","0","15:43","0","1",".000","0","0","","2","2","1.000","1","4","5","0","0","3","0","2","2","4.5","-4",".532",".000","7.6","24.0","16.8","0.0","0.0","22.9","0.0","5.4","146","80"
"12","12","2018-11-10","24-214","OKC","@","DAL","L (-15)","0","11:18","1","2",".500","0","0","","0","0","","3","3","6","0","1","1","3","4","2","1.1","-13",".500",".500","21.2","41.1","28.0","0.0","4.5","8.8","60.0","17.6","54","102"
"13","13","2018-11-12","24-216","OKC","","PHO","W (+17)","0","15:00","3","6",".500","0","0","","3","3","1.000","3","3","6","1","0","1","0","1","9","10.0","-6",".615",".500","24.6","24.0","24.3","9.6","0.0","5.8","0.0","20.6","153","106"
"14","14","2018-11-14","24-218","OKC","","NYK","W (+25)","0","13:40","1","2",".500","0","0","","0","0","","3","2","5","2","1","2","1","3","2","5.3","-4",".500",".500","26.3","16.3","21.2","14.8","3.4","11.3","33.3","9.1","129","91"
"15","15","2018-11-17","24-221","OKC","@","PHO","W (+10)","0","11:29","2","4",".500","0","0","","0","0","","2","4","6","0","1","2","1","2","4","5.2","+12",".500",".500","20.4","39.8","30.2","0.0","4.2","15.8","20.0","17.9","99","80"
"17","16","2018-11-21","24-225","OKC","@","GSW","W (+28)","0","14:32","2","3",".667","0","0","","0","0","","2","1","3","0","0","2","0","1","4","5.4","0",".667",".667","12.5","6.6","9.6","0.0","0.0","12.2","0.0","8.1","156","91"
"18","17","2018-11-23","24-227","OKC","","CHO","W (+5)","0","10:39","1","2",".500","0","0","","0","0","","0","3","3","0","0","0","1","2","2","0.1","-8",".500",".500","0.0","29.4","14.7","0.0","0.0","0.0","33.3","11.5","62","102"
"19","18","2018-11-24","24-228","OKC","","DEN","L (-7)","0","10:41","2","2","1.000","0","0","","0","0","","3","2","5","1","1","0","0","2","4","7.0","-2","1.000","1.000","23.2","18.0","20.8","16.0","4.5","0.0","0.0","7.3","207","99"
"20","19","2018-11-28","24-232","OKC","","CLE","W (+17)","0","14:11","3","4",".750","0","0","","2","2","1.000","1","2","3","1","0","1","1","0","8","8.1","+7",".820",".750","7.7","13.8","10.9","11.0","0.0","5.1","17.0","18.8","140","88"
"21","20","2018-11-30","24-234","OKC","","ATL","W (+15)","0","16:16","6","7",".857","0","0","","2","2","1.000","3","4","7","0","3","2","0","1","14","18.8","+7",".888",".857","25.3","22.3","23.5","0.0","8.2","9.8","0.0","20.3","187","81"
"22","21","2018-12-03","24-237","OKC","@","DET","W (+27)","0","20:22","6","9",".667","0","0","","0","0","","3","5","8","0","2","2","0","5","12","13.1","+6",".667",".667","18.6","21.4","20.3","0.0","4.5","7.6","0.0","19.1","140","69"
"23","22","2018-12-05","24-239","OKC","@","BRK","W (+2)","0","14:23","2","5",".400","0","0","","1","2",".500","3","6","9","0","1","1","1","2","5","5.7","-16",".425",".400","19.3","37.8","28.6","0.0","3.3","6.7","14.5","18.6","95","96"
