"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","23-240","DEN","@","LAC","W (+9)","1","33:32","6","13",".462","1","4",".250","8","10",".800","2","6","8","5","1","2","2","4","21","19.0","+8",".603",".500","5.5","16.8","11.1","29.3","1.4","4.8","10.3","24.0","124","97"
"2","2","2018-10-20","23-243","DEN","","PHO","W (+28)","1","30:43","11","11","1.000","3","3","1.000","10","11",".909","0","11","11","11","4","1","0","3","35","45.8","+29","1.105","1.136","0.0","31.3","18.3","66.6","6.1","4.1","0.0","21.4","226","75"
"3","3","2018-10-21","23-244","DEN","","GSW","W (+2)","1","32:23","7","14",".500","0","1",".000","9","12",".750","3","8","11","6","0","0","2","2","23","20.7","-4",".596",".500","9.5","29.6","18.7","36.1","0.0","0.0","9.4","28.0","126","104"
"4","4","2018-10-23","23-246","DEN","","SAC","W (+14)","1","23:17","6","11",".545","1","2",".500","1","1","1.000","2","10","12","6","1","0","3","4","14","13.7","+18",".612",".591","9.2","47.9","28.1","32.0","2.1","0.0","20.8","25.3","118","106"
"5","5","2018-10-25","23-248","DEN","@","LAL","L (-7)","1","32:50","9","17",".529","1","5",".200","5","5","1.000","3","8","11","3","1","1","6","5","24","16.0","-5",".625",".559","10.2","27.2","18.7","13.4","1.4","2.3","23.8","30.8","104","112"
"6","6","2018-10-29","23-252","DEN","","NOP","W (+5)","1","28:57","3","8",".375","2","4",".500","4","4","1.000","1","8","9","10","0","2","0","4","12","17.5","+5",".615",".500","3.6","34.0","17.6","44.8","0.0","5.7","0.0","13.9","155","106"
"7","7","2018-10-31","23-254","DEN","@","CHI","W (+1)","1","32:47","9","20",".450","3","6",".500","1","1","1.000","5","7","12","9","2","3","6","2","22","20.8","+4",".538",".525","16.2","23.1","19.6","47.8","3.2","8.4","22.7","34.8","105","95"
"8","8","2018-11-01","23-255","DEN","@","CLE","W (+19)","1","22:21","2","5",".400","0","1",".000","0","0","","1","5","6","3","1","1","2","2","4","4.5","+9",".400",".400","6.0","25.0","16.3","17.6","2.5","3.3","28.6","14.2","88","98"
"9","9","2018-11-03","23-257","DEN","","UTA","W (+15)","1","28:54","3","9",".333","0","3",".000","1","2",".500","3","7","10","16","1","0","4","2","7","13.1","+8",".354",".333","13.1","23.3","18.9","73.8","1.7","0.0","28.8","21.3","104","91"
"10","10","2018-11-05","23-259","DEN","","BOS","W (+8)","1","27:27","2","3",".667","0","0","","4","6",".667","2","8","10","8","0","0","3","4","8","10.7","-4",".709",".667","7.3","35.9","20.1","37.3","0.0","0.0","34.7","13.1","126","112"
"11","11","2018-11-07","23-261","DEN","@","MEM","L (-2)","1","25:36","0","1",".000","0","1",".000","4","4","1.000","1","6","7","4","3","0","6","5","4","3.6","0",".725",".000","4.6","31.3","17.0","23.4","6.4","0.0","68.5","15.4","66","88"
"12","12","2018-11-09","23-263","DEN","","BRK","L (-2)","1","33:12","14","22",".636","1","1","1.000","8","10",".800","7","14","21","3","1","2","6","5","37","32.0","+5",".701",".659","22.5","39.7","31.6","22.0","1.5","5.3","18.5","41.1","124","101"
"13","13","2018-11-11","23-265","DEN","","MIL","L (-7)","1","29:25","7","14",".500","4","8",".500","2","2","1.000","1","5","6","6","1","1","3","1","20","17.7","-17",".672",".643","3.5","24.0","12.2","33.1","1.7","3.3","16.8","27.1","123","125"
"14","14","2018-11-13","23-267","DEN","","HOU","L (-10)","1","32:59","6","14",".429","0","1",".000","2","3",".667","4","8","12","7","2","0","3","3","14","14.1","-14",".457",".429","17.6","38.8","27.7","34.8","3.3","0.0","16.4","26.9","105","118"
"15","15","2018-11-15","23-269","DEN","","ATL","W (+45)","1","25:22","5","11",".455","1","2",".500","1","2",".500","1","8","9","7","4","1","2","3","12","15.4","+37",".505",".500","4.9","25.2","17.2","30.4","7.1","3.8","14.4","21.9","114","71"
"16","16","2018-11-17","23-271","DEN","@","NOP","L (-10)","1","34:05","10","20",".500","2","8",".250","3","4",".750","3","7","10","8","1","0","1","2","25","23.6","-11",".574",".550","9.2","22.9","15.8","35.3","1.4","0.0","4.4","28.2","130","123"
"17","17","2018-11-19","23-273","DEN","@","MIL","L (-6)","1","32:34","8","18",".444","3","8",".375","1","1","1.000","3","2","5","5","1","0","3","1","20","14.4","-16",".542",".528","8.7","6.9","7.8","26.1","1.5","0.0","14.0","27.5","105","110"
"18","18","2018-11-21","23-275","DEN","@","MIN","W (+2)","1","36:42","3","13",".231","1","5",".200","0","0","","2","10","12","10","1","0","3","4","7","6.9","+4",".269",".269","6.4","33.5","19.6","34.3","1.4","0.0","18.8","20.0","84","106"
"19","19","2018-11-23","23-277","DEN","","ORL","W (+25)","1","22:52","2","7",".286","0","3",".000","2","2","1.000","3","7","10","11","2","0","0","4","6","14.2","+7",".381",".286","14.0","34.2","23.9","58.0","4.4","0.0","0.0","14.8","139","86"
"20","20","2018-11-24","23-278","DEN","@","OKC","W (+7)","1","27:11","6","20",".300","0","7",".000","4","5",".800","2","4","6","5","0","1","4","4","16","5.2","+15",".360",".300","7.1","12.2","9.8","31.1","0.0","2.8","15.3","38.7","79","102"
"21","21","2018-11-27","23-281","DEN","","LAL","W (+32)","1","22:36","5","14",".357","2","4",".500","2","2","1.000","0","7","7","7","1","1","3","1","14","11.5","+14",".470",".429","0.0","28.6","15.0","40.9","2.2","4.1","16.8","33.1","101","82"
"22","22","2018-11-30","23-284","DEN","@","POR","W (+1)","1","32:03","7","12",".583","0","2",".000","1","1","1.000","3","3","6","7","1","1","1","3","15","16.8","+2",".603",".583","10.0","11.2","10.6","35.5","1.6","2.4","7.4","18.4","139","120"
"23","23","2018-12-03","23-287","DEN","@","TOR","W (+3)","1","35:30","8","13",".615","0","1",".000","7","8",".875","4","7","11","15","2","0","2","1","23","31.7","+14",".696",".615","11.0","23.1","16.5","69.5","2.7","0.0","10.8","20.9","154","100"
"24","24","2018-12-05","23-289","DEN","@","ORL","W (+6)","1","34:38","5","13",".385","1","3",".333","1","2",".500","0","8","8","13","1","0","1","3","12","14.8","+10",".432",".423","0.0","27.2","14.8","53.3","1.5","0.0","6.7","21.0","114","115"
"25","25","2018-12-07","23-291","DEN","@","CHO","L (-6)","1","33:22","6","18",".333","0","6",".000","4","5",".800","4","7","11","6","1","2","4","5","16","10.9","+8",".396",".333","10.5","21.0","15.4","28.4","1.5","5.6","16.5","28.7","90","115"
"26","26","2018-12-08","23-292","DEN","@","ATL","L (-8)","1","32:38","9","17",".529","0","2",".000","6","7",".857","4","7","11","7","2","0","1","1","24","25.7","-6",".598",".529","11.1","22.4","16.3","45.2","2.8","0.0","4.7","25.6","129","98"
"27","27","2018-12-10","23-294","DEN","","MEM","W (+6)","1","38:24","9","14",".643","1","2",".500","8","9",".889","3","9","12","6","2","0","3","3","27","27.2","+6",".752",".679","9.6","32.1","20.3","27.0","2.8","0.0","14.3","26.2","144","112"
"28","28","2018-12-14","23-298","DEN","","OKC","W (+11)","1","35:45","8","16",".500","2","4",".500","6","6","1.000","3","12","15","9","3","0","6","3","24","23.8","+10",".644",".563","11.2","29.3","22.1","38.7","4.3","0.0","24.4","30.2","118","90"
"29","29","2018-12-16","23-300","DEN","","TOR","W (+9)","1","34:34","11","19",".579","0","1",".000","4","5",".800","4","6","10","4","2","0","3","0","26","23.1","+1",".613",".579","11.6","17.7","14.6","26.8","3.1","0.0","12.4","33.6","118","94"
"30","30","2018-12-18","23-302","DEN","","DAL","W (+8)","1","34:57","13","25",".520","2","6",".333","4","4","1.000","6","10","16","4","3","1","5","4","32","26.8","+15",".598",".560","21.1","33.5","27.5","17.1","4.2","2.8","15.7","38.6","116","109"
"31","31","2018-12-22","23-306","DEN","@","LAC","L (-21)","1","20:37","7","15",".467","2","2","1.000","3","3","1.000","2","4","6","3","0","1","4","2","19","11.9","-16",".582",".533","8.3","25.2","15.0","28.3","0.0","3.2","19.7","40.4","101","132"
"32","32","2018-12-26","23-310","DEN","@","SAS","L (-8)","1","30:59","1","5",".200","1","1","1.000","1","2",".500","2","2","4","10","2","0","5","1","4","6.1","-9",".340",".300","5.7","7.2","6.4","46.3","3.1","0.0","46.0","15.0","84","112"
"33","33","2018-12-28","23-312","DEN","","SAS","W (+3)","1","36:56","10","14",".714","1","4",".250","0","0","","0","9","9","9","0","0","6","6","21","15.8","+3",".750",".750","0.0","24.4","13.0","45.0","0.0","0.0","30.0","23.1","112","105"
"34","34","2018-12-29","23-313","DEN","@","PHO","W (+4)","1","37:40","8","11",".727","0","2",".000","7","8",".875","1","7","8","9","3","1","4","3","23","25.7","+12",".792",".727","3.6","21.2","13.2","36.1","3.9","2.1","21.6","21.8","144","115"
"35","35","2019-01-01","23-316","DEN","","NYK","W (+7)","1","34:29","8","16",".500","1","2",".500","2","3",".667","6","8","14","15","1","3","5","3","19","24.6","+6",".548",".531","19.0","21.4","20.3","63.5","1.5","6.3","22.4","27.5","121","110"
"36","36","2019-01-03","23-318","DEN","@","SAC","W (+4)","1","31:35","10","18",".556","3","8",".375","3","4",".750","3","10","13","6","1","1","5","1","26","22.6","+12",".658",".639","10.9","33.8","22.7","35.3","1.6","2.6","20.2","32.4","121","111"
"37","37","2019-01-05","23-320","DEN","","CHO","W (+13)","1","34:16","16","29",".552","3","9",".333","4","5",".800","8","4","12","6","3","1","2","1","39","37.0","+8",".625",".603","21.6","13.7","18.1","34.2","4.3","2.6","6.0","39.5","136","109"
"38","38","2019-01-07","23-322","DEN","@","HOU","L (-12)","1","28:08","11","20",".550","1","1","1.000","1","1","1.000","5","8","13","4","2","1","8","2","24","17.0","-22",".587",".575","19.4","37.9","27.7","27.0","3.4","5.9","28.1","41.7","94","117"
"39","39","2019-01-08","23-323","DEN","@","MIA","W (+4)","1","39:37","11","21",".524","1","2",".500","6","6","1.000","3","8","11","10","1","0","3","3","29","27.0","+9",".613",".548","8.3","22.0","15.1","43.8","1.3","0.0","11.3","29.2","130","106"
"40","40","2019-01-10","23-325","DEN","","LAC","W (+21)","1","27:48","8","19",".421","0","5",".000","2","3",".667","5","9","14","10","0","2","1","3","18","19.9","+6",".443",".421","19.2","33.8","26.6","47.7","0.0","5.5","4.7","32.4","123","99"
"41","41","2019-01-12","23-327","DEN","@","PHO","L (-9)","1","33:48","8","15",".533","1","4",".250","6","7",".857","1","9","10","4","0","1","2","0","23","20.2","+8",".636",".567","3.0","25.1","14.3","25.1","0.0","2.2","10.0","25.3","124","106"
"42","42","2019-01-13","23-328","DEN","","POR","W (+3)","1","36:43","15","23",".652","4","7",".571","6","8",".750","1","9","10","8","0","0","3","4","40","33.5","+17",".754",".739","3.7","30.2","17.7","41.2","0.0","0.0","10.2","38.3","141","118"
"43","43","2019-01-15","23-330","DEN","","GSW","L (-31)","1","23:13","6","12",".500","0","1",".000","5","5","1.000","1","3","4","8","0","0","3","3","17","14.0","-21",".599",".500","4.4","15.9","9.6","55.9","0.0","0.0","17.4","33.2","119","149"
"44","44","2019-01-17","23-332","DEN","","CHI","W (+30)","1","25:28","6","18",".333","0","3",".000","6","6","1.000","4","4","8","11","1","1","2","3","18","18.0","+26",".436",".333","18.0","15.7","16.8","53.6","2.0","2.9","8.8","38.2","124","108"
"45","45","2019-01-19","23-334","DEN","","CLE","W (+22)","1","27:39","8","12",".667","3","6",".500","0","1",".000","3","8","11","12","1","0","1","3","19","25.1","+21",".764",".792","14.9","38.6","26.9","57.7","1.9","0.0","7.4","22.3","171","111"
"46","46","2019-01-23","23-338","DEN","@","UTA","L (-6)","1","37:05","10","21",".476","1","7",".143","7","7","1.000","3","18","21","6","2","1","3","5","28","26.7","-11",".581",".500","9.7","46.6","30.2","26.7","2.7","3.1","11.1","31.6","123","103"
"48","47","2019-01-26","23-341","DEN","","PHI","W (+16)","1","33:44","12","22",".545","2","3",".667","6","7",".857","6","12","18","10","1","0","1","1","32","35.4","+16",".638",".591","20.8","33.5","27.8","46.0","1.4","0.0","3.8","31.8","147","102"
"49","48","2019-01-28","23-343","DEN","@","MEM","W (+3)","1","34:36","10","20",".500","1","8",".125","3","3","1.000","1","4","5","3","4","0","4","3","24","16.8","+5",".563",".525","3.3","15.0","8.8","18.0","5.9","0.0","15.8","33.4","101","91"
"50","49","2019-01-30","23-345","DEN","@","NOP","W (+6)","1","37:07","9","16",".563","0","2",".000","2","2","1.000","1","12","13","10","3","2","2","2","20","25.3","+17",".592",".563","2.8","34.5","18.5","42.6","3.9","4.9","10.6","23.0","121","90"
"51","50","2019-02-01","23-347","DEN","","HOU","W (+14)","1","31:26","12","15",".800","1","2",".500","6","6","1.000","4","9","13","9","1","0","2","4","31","34.5","+14",".879",".833","21.1","37.1","30.1","42.1","1.7","0.0","10.2","30.0","176","131"
"52","51","2019-02-02","23-348","DEN","@","MIN","W (+1)","1","29:16","4","13",".308","0","2",".000","5","8",".625","8","8","16","10","0","0","5","4","13","12.7","-1",".393",".308","27.3","32.0","29.5","46.3","0.0","0.0","23.2","33.6","102","116"
"53","52","2019-02-04","23-350","DEN","@","DET","L (-26)","1","25:44","7","17",".412","0","3",".000","2","3",".667","1","2","3","4","3","0","3","4","16","9.0","-16",".437",".412","4.0","9.8","6.6","26.7","5.6","0.0","14.1","34.7","85","122"
"54","53","2019-02-06","23-352","DEN","@","BRK","L (-5)","1","33:47","8","13",".615","1","3",".333","8","10",".800","2","12","14","10","1","1","2","3","25","28.8","+5",".718",".654","6.0","41.6","22.6","36.8","1.3","2.5","10.3","22.7","149","122"
"55","54","2019-02-08","23-354","DEN","@","PHI","L (-7)","1","35:19","11","22",".500","1","5",".200","4","4","1.000","2","8","10","10","3","0","4","2","27","25.0","+2",".568",".523","6.3","27.9","16.6","43.8","4.0","0.0","14.4","33.8","110","108"
"56","55","2019-02-11","23-357","DEN","","MIA","W (+16)","1","36:29","7","16",".438","3","3","1.000","6","7",".857","0","12","12","4","0","0","7","3","23","12.4","+16",".603",".531","0.0","37.6","17.2","18.3","0.0","0.0","26.8","31.3","91","91"
"57","56","2019-02-13","23-359","DEN","","SAC","W (+2)","1","36:12","7","17",".412","0","2",".000","6","6","1.000","4","14","18","11","1","0","4","1","20","22.2","+2",".509",".412","11.0","37.9","24.6","40.8","1.3","0.0","16.9","25.5","113","107"
"58","57","2019-02-22","24-003","DEN","@","DAL","W (+10)","1","30:25","7","16",".438","1","2",".500","4","4","1.000","5","8","13","8","1","0","4","4","19","17.5","+3",".535",".469","14.1","25.8","19.5","40.8","1.5","0.0","18.4","27.0","114","101"
"59","58","2019-02-24","24-005","DEN","","LAC","W (+27)","1","27:42","9","16",".563","0","2",".000","4","6",".667","3","13","16","3","3","1","6","5","22","17.4","+14",".590",".563","12.1","44.2","29.5","18.3","4.7","2.6","24.4","34.9","97","75"
"60","59","2019-02-26","24-007","DEN","","OKC","W (+9)","1","34:47","11","25",".440","4","7",".571","10","13",".769","1","8","9","10","0","1","2","2","36","29.7","+22",".586",".520","3.2","22.1","13.4","53.4","0.0","2.4","6.1","37.2","128","106"
"61","60","2019-02-28","24-009","DEN","","UTA","L (-7)","1","31:41","5","15",".333","0","1",".000","6","7",".857","6","7","13","7","0","0","5","5","16","11.3","+2",".442",".333","18.2","21.6","19.9","32.7","0.0","0.0","21.7","28.8","95","114"
"62","61","2019-03-02","24-011","DEN","","NOP","L (-8)","1","21:34","7","11",".636","1","2",".500","5","6",".833","4","5","9","7","2","2","2","4","20","23.7","+6",".733",".682","19.8","24.2","22.0","66.5","4.1","7.2","12.8","28.8","145","100"
"63","62","2019-03-04","24-013","DEN","@","SAS","L (-1)","1","38:25","10","14",".714","2","2","1.000","0","0","","4","6","10","6","0","0","3","2","22","21.2","+10",".786",".786","11.1","18.3","14.5","26.3","0.0","0.0","17.6","19.5","138","111"
"64","63","2019-03-06","24-015","DEN","@","LAL","W (+16)","1","35:24","3","5",".600","0","1",".000","6","8",".750","4","13","17","8","3","0","2","1","12","21.8","+16",".704",".600","10.0","42.0","24.0","26.5","4.2","0.0","19.0","12.6","146","94"
"65","64","2019-03-08","24-017","DEN","@","GSW","L (-17)","1","28:48","5","10",".500","1","1","1.000","5","8",".625","3","3","6","4","4","1","2","2","16","17.5","-29",".592",".550","10.0","12.8","11.2","27.0","6.5","3.4","12.9","21.7","120","108"
"66","65","2019-03-12","24-021","DEN","","MIN","W (+26)","1","26:24","9","14",".643","0","0","","0","0","","4","4","8","7","0","1","4","4","18","15.8","+2",".643",".643","24.2","17.7","20.5","36.7","0.0","3.1","22.2","31.0","124","115"
"67","66","2019-03-14","24-023","DEN","","DAL","W (+1)","1","29:58","4","9",".444","0","2",".000","3","4",".750","2","12","14","8","0","1","2","1","11","14.8","-12",".511",".444","8.2","42.7","26.7","39.3","0.0","3.2","15.7","20.5","115","105"
"68","67","2019-03-16","24-025","DEN","","IND","W (+2)","1","34:21","11","21",".524","2","7",".286","2","2","1.000","3","4","7","5","0","0","4","3","26","17.3","+5",".594",".571","10.0","14.7","12.2","29.6","0.0","0.0","15.5","35.9","109","116"
"69","68","2019-03-18","24-027","DEN","@","BOS","W (+9)","1","35:52","9","14",".643","3","7",".429","0","0","","2","11","13","7","2","3","3","2","21","24.7","+15",".750",".750","7.4","28.3","19.8","27.6","2.7","7.4","17.6","19.7","136","94"
"70","69","2019-03-21","24-030","DEN","@","WAS","W (+5)","1","34:56","6","12",".500","2","4",".500","1","1","1.000","3","3","6","11","0","0","1","1","15","18.3","-10",".603",".583","10.1","11.1","10.6","40.0","0.0","0.0","7.4","18.5","146","125"
"71","70","2019-03-22","24-031","DEN","@","NYK","W (+18)","1","28:13","8","20",".400","1","3",".333","4","6",".667","4","13","17","5","0","0","1","3","21","17.4","+17",".464",".425","12.6","41.7","27.0","32.2","0.0","0.0","4.2","35.8","114","95"
"72","71","2019-03-24","24-033","DEN","@","IND","L (-36)","1","29:32","8","16",".500","1","3",".333","2","2","1.000","3","8","11","8","1","4","1","2","19","23.1","-19",".563",".531","9.0","36.1","19.9","65.0","1.7","8.9","5.6","24.8","127","116"
"73","72","2019-03-26","24-035","DEN","","DET","W (+3)","1","33:18","10","24",".417","0","5",".000","3","5",".600","3","12","15","2","0","0","3","3","23","12.3","-9",".439",".417","8.6","27.9","19.3","12.8","0.0","0.0","10.3","38.3","87","91"
"74","73","2019-03-28","24-037","DEN","@","HOU","L (-27)","1","24:52","7","14",".500","0","0","","2","2","1.000","3","5","8","6","0","2","2","3","16","15.0","-1",".538",".500","13.8","23.0","18.4","66.2","0.0","8.2","11.8","30.5","108","117"
"75","74","2019-03-29","24-038","DEN","@","OKC","W (+10)","1","34:21","10","16",".625","1","3",".333","2","2","1.000","2","14","16","3","1","0","2","3","23","21.3","+7",".681",".656","9.0","45.5","30.2","12.3","1.5","0.0","10.6","26.5","130","105"
"76","75","2019-03-31","24-040","DEN","","WAS","L (-5)","1","30:15","11","15",".733","0","2",".000","1","3",".333","2","12","14","4","2","1","2","3","23","23.4","+1",".705",".733","5.6","35.3","20.0","36.2","3.2","2.3","10.9","25.8","128","85"
"77","76","2019-04-02","24-042","DEN","@","GSW","L (-14)","1","27:42","4","10",".400","0","3",".000","2","3",".667","2","3","5","6","4","0","6","1","10","8.3","-10",".442",".400","6.4","12.7","9.1","35.8","6.5","0.0","34.6","24.3","73","104"
"78","77","2019-04-03","24-043","DEN","","SAS","W (+28)","1","28:40","9","10",".900","0","1",".000","2","3",".667","0","11","11","9","0","0","5","3","20","19.6","+18",".883",".900","0.0","36.8","21.7","47.2","0.0","0.0","30.6","25.7","125","87"
"79","78","2019-04-05","24-045","DEN","","POR","W (+9)","1","36:45","9","15",".600","1","4",".250","3","4",".750","3","10","13","9","2","1","2","3","22","25.6","+6",".656",".633","9.8","33.5","21.5","37.6","2.8","2.3","10.7","23.2","139","111"
"81","79","2019-04-09","24-049","DEN","@","UTA","L (-10)","1","16:03","1","6",".167","0","0","","0","2",".000","2","3","5","2","1","1","1","6","2","-0.6","-15",".145",".167","14.2","24.2","18.9","15.7","3.0","5.9","12.7","22.5","57","112"
"82","80","2019-04-10","24-050","DEN","","MIN","W (+4)","1","36:35","13","26",".500","1","7",".143","2","2","1.000","3","11","14","2","3","0","4","4","29","20.2","+16",".539",".519","8.6","30.1","19.5","12.0","4.2","0.0","13.0","38.1","100","93"
