"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-358","ORL","","MIA","W (+3)","1","28:06","4","12",".333","0","0","","4","5",".800","2","6","8","4","1","0","4","2","12","7.0","-17",".423",".333","6.6","20.1","13.3","21.2","1.7","0.0","22.0","26.0","83","97"
"2","2","2018-10-19","27-360","ORL","","CHO","L (-32)","1","22:23","6","11",".545","0","0","","0","0","","3","5","8","4","0","4","2","1","12","13.5","-24",".545",".545","11.7","24.4","17.3","37.1","0.0","15.9","15.4","24.2","107","112"
"3","3","2018-10-20","27-361","ORL","@","PHI","L (-1)","1","37:35","10","15",".667","4","4","1.000","3","3","1.000","4","9","13","12","2","0","2","2","27","33.6","+12",".827",".800","10.9","23.9","17.5","54.3","2.7","0.0","10.9","20.6","166","117"
"4","4","2018-10-22","27-363","ORL","@","BOS","W (+3)","1","32:37","11","18",".611","1","2",".500","1","2",".500","3","9","12","1","3","0","0","1","24","23.5","+10",".636",".639","8.8","26.5","17.7","6.7","4.6","0.0","0.0","26.1","126","84"
"5","5","2018-10-25","28-001","ORL","","POR","L (-14)","1","31:27","10","16",".625","2","3",".667","2","2","1.000","3","8","11","3","2","1","3","5","24","21.1","-10",".711",".688","10.6","29.8","20.0","16.5","3.2","2.5","15.1","27.9","125","125"
"6","6","2018-10-27","28-003","ORL","@","MIL","L (-22)","1","21:28","7","10",".700","0","0","","2","2","1.000","3","6","9","1","1","1","3","4","16","13.5","-12",".735",".700","10.8","37.3","20.5","12.9","2.1","4.3","21.6","26.0","112","102"
"7","7","2018-10-30","28-006","ORL","","SAC","L (-8)","1","27:15","5","11",".455","0","2",".000","5","6",".833","5","10","15","5","1","1","3","1","15","17.2","-3",".550",".455","16.3","39.1","26.7","32.4","1.7","2.8","18.0","25.1","111","101"
"8","8","2018-11-02","28-009","ORL","","LAC","L (-25)","1","32:13","10","21",".476","1","3",".333","1","2",".500","2","9","11","3","0","3","1","1","22","17.8","-16",".503",".500","6.2","31.9","18.2","17.8","0.0","7.4","4.4","31.5","103","115"
"9","9","2018-11-04","28-011","ORL","@","SAS","W (+7)","1","32:28","6","11",".545","0","1",".000","1","3",".333","0","8","8","3","1","1","0","1","13","12.7","+7",".528",".545","0.0","28.2","13.8","11.9","1.6","2.8","0.0","17.0","117","111"
"10","10","2018-11-05","28-012","ORL","","CLE","W (+2)","1","26:57","6","13",".462","1","2",".500","1","2",".500","2","8","10","1","1","2","2","0","14","11.8","-5",".504",".500","8.1","37.5","21.7","6.3","1.9","6.2","12.6","26.0","96","99"
"11","11","2018-11-07","28-014","ORL","","DET","L (-7)","1","34:26","6","14",".429","0","3",".000","2","2","1.000","0","9","9","4","0","1","4","5","14","6.8","+9",".470",".429","0.0","26.7","13.9","17.6","0.0","2.6","21.2","23.7","80","101"
"12","12","2018-11-09","28-016","ORL","","WAS","W (+9)","1","30:38","10","16",".625","1","2",".500","0","0","","4","10","14","3","1","2","2","2","21","21.3","+12",".656",".656","16.1","42.3","28.9","16.6","1.6","5.7","11.1","25.8","129","103"
"13","13","2018-11-11","28-018","ORL","@","NYK","W (+26)","1","26:21","10","17",".588","1","3",".333","0","0","","4","10","14","1","1","1","2","1","21","18.9","+18",".618",".618","14.3","33.1","24.1","7.1","1.8","3.0","10.5","30.4","113","79"
"14","14","2018-11-12","28-019","ORL","@","WAS","L (-8)","1","32:03","8","17",".471","1","3",".333","0","0","","4","7","11","3","1","0","2","2","17","13.5","0",".500",".500","14.3","31.8","22.0","14.5","1.6","0.0","10.5","26.9","105","122"
"15","15","2018-11-14","28-021","ORL","","PHI","W (+5)","1","39:19","10","19",".526","3","6",".500","7","8",".875","0","8","8","4","2","0","1","1","30","26.1","+21",".666",".605","0.0","23.3","12.5","17.6","2.6","0.0","4.3","28.8","132","110"
"16","16","2018-11-17","28-024","ORL","","LAL","W (+13)","1","31:22","15","23",".652","2","5",".400","4","5",".800","4","9","13","0","2","0","3","1","36","29.6","+12",".714",".696","13.9","36.2","24.3","0.0","3.0","0.0","10.6","37.2","129","108"
"17","17","2018-11-18","28-025","ORL","","NYK","W (+14)","1","31:37","10","15",".667","2","3",".667","6","6","1.000","4","6","10","9","0","2","3","2","28","30.0","+14",".794",".733","19.0","20.2","19.7","41.6","0.0","4.8","14.5","28.4","153","117"
"18","18","2018-11-20","28-027","ORL","","TOR","L (-2)","1","33:35","6","12",".500","0","3",".000","2","2","1.000","3","15","18","4","0","0","3","2","14","13.6","+8",".543",".500","8.9","48.7","28.0","22.5","0.0","0.0","18.9","21.3","102","95"
"19","19","2018-11-23","28-030","ORL","@","DEN","L (-25)","1","27:42","7","14",".500","0","2",".000","2","2","1.000","2","6","8","0","1","0","2","1","16","10.8","-9",".538",".500","8.1","23.1","15.8","0.0","1.8","0.0","11.8","29.1","93","114"
"20","20","2018-11-25","28-032","ORL","@","LAL","W (+4)","1","35:51","10","20",".500","3","8",".375","8","8","1.000","2","13","15","7","2","3","3","2","31","31.5","+16",".659",".575","5.8","42.5","23.1","32.8","2.6","7.6","11.3","31.7","126","92"
"21","21","2018-11-26","28-033","ORL","@","GSW","L (-6)","1","32:35","12","21",".571","1","4",".250","5","6",".833","4","8","12","6","1","0","1","4","30","27.5","-8",".635",".595","14.0","31.0","22.1","39.6","1.5","0.0","4.1","32.9","133","117"
"22","22","2018-11-28","28-035","ORL","@","POR","L (-3)","1","28:41","8","12",".667","2","2","1.000","2","2","1.000","0","8","8","7","0","2","1","6","20","20.1","-7",".776",".750","0.0","28.5","15.9","40.9","0.0","7.3","7.2","22.9","151","113"
"23","23","2018-11-30","28-037","ORL","@","PHO","W (+14)","1","31:54","11","20",".550","2","5",".400","1","2",".500","1","14","15","3","1","1","2","3","25","20.5","+15",".599",".600","3.9","46.8","26.9","20.1","1.6","2.7","8.7","33.8","111","84"
"24","24","2018-12-04","28-041","ORL","@","MIA","W (+15)","1","33:02","8","16",".500","2","5",".400","1","2",".500","3","7","10","3","1","0","1","1","19","16.5","+31",".563",".563","10.4","21.2","16.1","16.5","1.6","0.0","5.6","24.6","122","96"
"25","25","2018-12-05","28-042","ORL","","DEN","L (-6)","1","37:01","11","19",".579","2","4",".500","0","0","","1","14","15","4","0","0","1","2","24","21.0","-9",".632",".632","3.2","52.8","25.9","19.6","0.0","0.0","5.0","26.6","123","123"
"26","26","2018-12-07","28-044","ORL","","IND","L (-22)","1","25:38","9","17",".529","1","4",".250","3","3","1.000","2","8","10","2","0","0","2","1","22","16.5","-8",".600",".559","7.3","30.6","18.7","19.6","0.0","0.0","9.8","35.0","111","114"
"27","27","2018-12-10","28-047","ORL","@","DAL","L (-25)","1","25:59","4","15",".267","0","1",".000","0","0","","2","14","16","4","2","1","3","1","8","6.8","-14",".267",".267","7.4","58.8","31.4","30.0","3.9","3.9","16.7","31.3","59","88"
"28","28","2018-12-13","28-050","ORL","","CHI","W (+6)","1","32:47","11","21",".524","3","6",".500","1","2",".500","2","8","10","2","2","1","2","2","26","20.4","-3",".594",".595","7.1","33.5","19.3","16.4","3.1","2.8","8.4","32.3","110","91"
"29","29","2018-12-15","28-052","ORL","","UTA","W (+7)","1","30:09","5","14",".357","1","3",".333","4","4","1.000","2","17","19","5","0","2","2","3","15","15.4","+3",".476",".393","9.1","49.2","33.6","30.6","0.0","5.3","11.3","27.5","103","79"
"31","30","2018-12-21","28-058","ORL","@","CHI","L (-10)","1","36:41","8","19",".421","1","5",".200","2","2","1.000","5","14","19","4","0","4","0","3","19","21.0","+3",".478",".447","12.1","42.6","25.6","29.9","0.0","9.0","0.0","24.9","113","94"
"32","31","2018-12-23","28-060","ORL","","MIA","L (-24)","1","29:27","3","12",".250","0","1",".000","2","5",".400","5","2","7","0","0","1","3","1","8","1.0","-23",".282",".250","19.4","8.8","14.4","0.0","0.0","3.0","17.4","27.2","65","129"
"33","32","2018-12-26","28-063","ORL","","PHO","L (-2)","1","39:03","10","20",".500","2","5",".400","0","0","","3","10","13","2","2","0","4","1","22","16.1","+1",".550",".550","9.0","32.3","20.3","8.9","2.6","0.0","16.7","27.0","101","110"
"34","33","2018-12-28","28-065","ORL","","TOR","W (+29)","1","33:22","12","17",".706","0","1",".000","6","8",".750","4","15","19","8","2","1","1","1","30","36.3","+33",".731",".706","15.1","34.3","27.1","43.0","2.9","2.4","4.6","26.3","156","71"
"35","34","2018-12-30","28-067","ORL","","DET","W (+2)","1","34:16","10","15",".667","0","2",".000","2","2","1.000","2","9","11","4","1","2","3","2","22","21.0","+5",".693",".667","6.5","23.8","16.1","21.6","1.5","4.6","15.9","24.4","123","105"
"36","35","2018-12-31","28-068","ORL","@","CHO","L (-25)","1","23:05","5","13",".385","1","3",".333","1","4",".250","1","4","5","2","1","2","0","2","12","8.6","-15",".407",".423","3.9","20.3","11.1","15.1","2.1","6.8","0.0","27.6","93","120"
"37","36","2019-01-02","28-070","ORL","@","CHI","W (+28)","1","26:12","10","15",".667","1","1","1.000","1","3",".333","2","10","12","3","2","3","2","2","22","22.5","+22",".674",".700","11.8","43.6","30.1","21.4","3.9","8.3","10.9","34.6","120","74"
"38","37","2019-01-04","28-072","ORL","@","MIN","L (-17)","1","27:17","10","16",".625","1","4",".250","1","1","1.000","2","5","7","3","1","1","1","2","22","19.7","-16",".669",".656","7.2","22.0","13.8","21.6","1.8","2.7","5.7","28.6","125","117"
"39","38","2019-01-06","28-074","ORL","@","LAC","L (-10)","1","32:06","7","17",".412","2","5",".400","0","0","","4","20","24","8","0","2","3","1","16","19.3","-12",".471",".471","10.9","57.5","33.5","53.1","0.0","4.2","15.0","26.3","100","97"
"40","39","2019-01-07","28-075","ORL","@","SAC","L (-16)","1","24:37","7","14",".500","1","2",".500","3","4",".750","2","11","13","3","1","1","1","1","18","17.7","-11",".571",".536","7.4","42.9","24.6","31.9","1.8","3.0","6.0","28.8","116","97"
"41","40","2019-01-09","28-077","ORL","@","UTA","L (-13)","1","30:37","8","17",".471","3","4",".750","1","2",".500","1","7","8","3","2","0","2","4","20","14.2","-2",".559",".559","3.3","28.9","14.8","23.0","3.3","0.0","10.1","30.3","104","106"
"42","41","2019-01-12","28-080","ORL","","BOS","W (+2)","1","30:29","7","18",".389","0","4",".000","2","4",".500","2","11","13","5","0","0","4","0","16","9.6","-21",".405",".389","7.0","34.0","21.3","31.5","0.0","0.0","16.8","34.1","82","102"
"43","42","2019-01-13","28-081","ORL","","HOU","W (+7)","1","35:06","9","16",".563","1","3",".333","3","4",".750","2","7","9","6","1","0","2","4","22","19.1","+15",".619",".594","6.7","22.8","14.8","28.6","1.4","0.0","10.1","24.9","128","114"
"44","43","2019-01-16","28-084","ORL","@","DET","L (-5)","1","37:53","11","22",".500","2","4",".500","0","1",".000","4","9","13","3","1","0","2","1","24","18.8","-1",".535",".545","13.6","29.3","21.7","13.3","1.4","0.0","8.2","30.9","108","118"
"45","44","2019-01-18","28-086","ORL","","BRK","L (-2)","1","32:46","7","20",".350","1","3",".333","1","1","1.000","6","11","17","6","0","1","0","0","16","17.2","-13",".391",".375","20.0","35.0","27.7","23.9","0.0","2.9","0.0","26.5","113","114"
"46","45","2019-01-19","28-087","ORL","","MIL","L (-10)","1","29:48","11","24",".458","2","5",".400","3","3","1.000","1","5","6","4","0","2","0","0","27","21.0","-1",".533",".500","3.4","26.0","12.4","24.5","0.0","5.9","0.0","38.9","110","117"
"47","46","2019-01-21","28-089","ORL","@","ATL","W (+19)","1","34:32","12","23",".522","1","3",".333","4","4","1.000","3","11","14","2","0","2","0","1","29","25.5","+8",".586",".543","9.5","34.0","21.9","9.5","0.0","5.0","0.0","30.9","127","102"
"48","47","2019-01-23","28-091","ORL","@","BRK","L (-4)","1","33:11","9","20",".450","1","3",".333","2","2","1.000","3","11","14","5","2","4","4","3","21","19.1","+9",".503",".475","9.9","37.0","23.3","29.0","2.9","10.0","16.1","31.5","99","100"
"49","48","2019-01-25","28-093","ORL","","WAS","L (-4)","1","31:26","12","17",".706","1","3",".333","3","5",".600","2","7","9","1","1","0","3","5","28","20.3","-9",".729",".735","6.6","24.3","15.3","7.8","1.7","0.0","13.5","32.2","122","103"
"50","49","2019-01-27","28-095","ORL","@","HOU","L (-5)","1","33:46","8","19",".421","0","2",".000","3","4",".750","8","9","17","5","2","1","4","4","19","17.4","+3",".458",".421","21.1","31.2","25.4","25.7","2.9","3.2","16.2","30.0","100","102"
"51","50","2019-01-29","28-097","ORL","","OKC","L (-9)","1","33:59","12","20",".600","1","2",".500","2","2","1.000","2","9","11","5","1","2","3","1","27","24.4","+7",".647",".625","5.1","31.0","16.2","26.1","1.4","4.0","12.6","27.7","124","119"
"52","51","2019-01-31","28-099","ORL","","IND","W (+7)","1","34:39","8","15",".533","1","2",".500","0","0","","2","8","10","5","0","0","3","3","17","12.8","-2",".567",".567","6.2","24.6","15.4","25.7","0.0","0.0","16.7","23.4","106","104"
"53","52","2019-02-02","28-101","ORL","","BRK","W (+13)","1","32:13","12","22",".545","0","0","","0","0","","2","10","12","4","1","3","2","1","24","21.3","+20",".545",".545","6.1","29.8","18.1","25.8","1.4","8.4","8.3","31.6","104","80"
"54","53","2019-02-05","28-104","ORL","@","OKC","L (-10)","1","34:00","8","18",".444","1","2",".500","0","0","","1","8","9","5","1","0","4","2","17","10.4","-16",".472",".472","2.9","28.2","14.3","23.0","1.2","0.0","18.2","25.3","86","118"
"55","54","2019-02-07","28-106","ORL","","MIN","W (+10)","1","31:14","9","16",".563","1","2",".500","2","2","1.000","3","7","10","3","0","2","1","1","21","19.7","+8",".622",".594","12.5","22.9","18.3","14.8","0.0","4.2","5.6","25.9","135","115"
"56","55","2019-02-09","28-108","ORL","@","MIL","W (+20)","1","26:16","7","16",".438","1","4",".250","0","0","","3","14","17","5","0","1","1","0","15","16.1","+11",".469",".469","11.4","42.6","28.8","29.3","0.0","3.0","5.9","28.6","106","75"
"57","56","2019-02-10","28-109","ORL","@","ATL","W (+16)","1","28:44","8","13",".615","1","2",".500","2","2","1.000","4","8","12","3","0","1","1","2","19","19.3","+15",".684",".654","17.1","31.1","24.4","16.9","0.0","3.5","6.7","22.3","144","113"
