"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","30-164","PHO","","DAL","W (+21)","1","24:01","1","4",".250","0","1",".000","0","0","","3","4","7","3","0","0","1","0","2","4.0","+22",".250",".250","17.6","16.7","17.1","14.3","0.0","0.0","20.0","10.1","109","111"
"2","2","2018-10-20","30-167","PHO","@","DEN","L (-28)","1","22:07","3","11",".273","2","8",".250","0","0","","1","0","1","2","0","0","0","1","8","3.2","-6",".364",".364","3.9","0.0","2.3","19.3","0.0","0.0","0.0","21.4","85","122"
"3","3","2018-10-22","30-169","PHO","@","GSW","L (-20)","1","20:40","1","4",".250","0","3",".000","1","2",".500","3","0","3","2","0","0","1","2","3","1.9","-7",".307",".250","15.5","0.0","8.2","12.7","0.0","0.0","17.0","11.9","91","126"
"4","4","2018-10-24","30-171","PHO","","LAL","L (-18)","1","19:20","4","6",".667","1","3",".333","0","0","","1","2","3","2","0","0","1","2","9","7.3","-12",".750",".750","6.1","10.8","8.6","14.6","0.0","0.0","14.3","15.5","133","130"
"5","5","2018-10-27","30-174","PHO","@","MEM","L (-21)","1","21:42","2","6",".333","1","3",".333","2","2","1.000","0","2","2","3","1","0","1","2","7","5.5","-7",".509",".417","0.0","13.4","6.0","21.0","2.3","0.0","12.7","16.5","101","118"
"6","6","2018-10-28","30-175","PHO","@","OKC","L (-7)","1","30:56","4","10",".400","1","4",".250","6","6","1.000","2","3","5","0","1","0","2","1","15","10.5","-3",".593",".450","7.1","10.8","8.9","0.0","1.5","0.0","13.7","18.9","113","114"
"7","7","2018-10-31","30-178","PHO","","SAS","L (-30)","0","8:03","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-16","","","0.0","17.5","7.3","0.0","0.0","0.0","","0.0","0","123"
"8","8","2018-11-02","30-180","PHO","","TOR","L (-9)","0","25:21","1","5",".200","1","2",".500","2","4",".500","1","5","6","1","0","0","1","2","5","2.2","-13",".370",".300","4.2","22.0","12.9","5.0","0.0","0.0","12.9","12.9","82","112"
"9","9","2018-11-04","30-182","PHO","","MEM","W (+2)","1","27:49","2","7",".286","1","4",".250","0","0","","1","6","7","0","0","0","1","4","5","0.8","+6",".357",".357","6.6","25.3","18.0","0.0","0.0","0.0","12.5","13.9","70","111"
"10","10","2018-11-06","30-184","PHO","","BRK","L (-22)","1","22:18","0","1",".000","0","1",".000","0","0","","0","2","2","2","0","0","2","1","0","-1.1","-7",".000",".000","0.0","8.1","4.3","15.4","0.0","0.0","66.7","5.9","28","112"
"11","11","2018-11-08","30-186","PHO","","BOS","L (-7)","0","15:20","0","1",".000","0","1",".000","0","0","","0","2","2","1","1","0","0","3","0","0.4","-9",".000",".000","0.0","12.6","7.1","8.4","3.2","0.0","0.0","3.0","49","106"
"14","12","2018-11-14","30-192","PHO","","SAS","W (+20)","0","6:54","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","1","0","2","0","-0.5","-4",".000",".000","0.0","15.1","8.6","0.0","0.0","11.6","0.0","6.7","0","96"
"22","13","2018-11-30","30-208","PHO","","ORL","L (-14)","0","20:14","1","4",".250","0","3",".000","0","0","","2","2","4","1","0","0","1","0","2","1.3","-2",".250",".250","10.5","12.2","11.3","7.5","0.0","0.0","20.0","11.6","68","112"
"23","14","2018-12-02","30-210","PHO","@","LAL","L (-24)","0","8:08","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","1","0","-1.1","-16","","","0.0","13.4","6.1","0.0","0.0","0.0","100.0","5.2","0","120"
"24","15","2018-12-04","30-212","PHO","","SAC","L (-17)","0","4:50","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","-8","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","127"
"58","16","2019-02-11","30-281","MIA","@","DEN","L (-16)","0","1:53","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+2","","","0.0","0.0","0.0","75.0","0.0","0.0","","0.0","226","117"
"61","17","2019-02-23","30-293","MIA","","DET","L (-23)","0","3:15","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","+1","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.8","300","133"
"62","18","2019-02-25","30-295","MIA","","PHO","L (-3)","0","6:56","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","1","1","3","1.3","+4","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","50.0","11.6","86","128"
"65","19","2019-03-02","30-300","MIA","","BRK","W (+29)","0","4:10","0","3",".000","0","1",".000","1","2",".500","2","1","3","0","0","0","0","0","1","0.2","+1",".129",".000","57.6","21.7","37.2","0.0","0.0","0.0","0.0","40.4","69","94"
"69","20","2019-03-10","30-308","MIA","","TOR","L (-21)","0","3:43","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+1","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","133"
"70","21","2019-03-13","30-311","MIA","","DET","W (+34)","0","5:51","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1.7","+2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","15.5","0","95"
"75","22","2019-03-22","30-320","MIA","@","MIL","L (-29)","0","4:44","0","1",".000","0","0","","0","0","","0","0","0","1","1","0","0","0","0","1.0","-6",".000",".000","0.0","0.0","0.0","31.7","10.7","0.0","0.0","9.7","48","107"
