"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-254","ORL","","MIA","W (+3)","0","25:32","2","9",".222","0","4",".000","0","0","","0","4","4","4","2","4","1","4","4","4.7","+16",".222",".222","0.0","14.7","7.3","21.3","3.6","11.7","10.0","15.7","63","87"
"2","2","2018-10-19","27-256","ORL","","CHO","L (-32)","0","19:02","4","10",".400","1","3",".333","5","5","1.000","0","1","1","0","1","0","1","0","14","8.9","-13",".574",".450","0.0","5.7","2.5","0.0","2.5","0.0","7.6","28.9","111","122"
"3","3","2018-10-20","27-257","ORL","@","PHI","L (-1)","0","28:58","5","14",".357","3","5",".600","2","2","1.000","1","3","4","2","1","0","0","2","15","10.4","-11",".504",".464","3.5","10.4","7.0","10.1","1.7","0.0","0.0","21.7","118","124"
"4","4","2018-10-22","27-259","ORL","@","BOS","W (+3)","0","19:14","3","8",".375","0","5",".000","0","0","","0","1","1","0","1","0","1","2","6","1.1","0",".375",".375","0.0","5.0","2.5","0.0","2.6","0.0","11.1","21.1","63","94"
"5","5","2018-10-25","27-262","ORL","","POR","L (-14)","0","29:17","8","14",".571","5","9",".556","0","1",".000","2","2","4","2","1","0","3","0","21","15.4","-15",".727",".750","7.6","8.0","7.8","11.0","1.7","0.0","17.2","26.3","116","135"
"6","6","2018-10-27","27-264","ORL","@","MIL","L (-22)","0","17:32","3","12",".250","1","7",".143","0","0","","0","1","1","4","0","0","1","4","7","0.3","-11",".292",".292","0.0","7.6","2.8","44.2","0.0","0.0","7.7","29.8","67","114"
"7","7","2018-10-30","27-267","ORL","","SAC","L (-8)","0","27:11","7","17",".412","3","9",".333","0","0","","0","2","2","2","3","0","1","5","17","9.9","-2",".500",".500","0.0","7.8","3.6","14.9","5.2","0.0","5.6","27.2","93","101"
"8","8","2018-11-02","27-270","ORL","","LAC","L (-25)","0","19:53","3","10",".300","1","4",".250","0","0","","0","2","2","2","1","1","0","4","7","3.3","-13",".350",".350","0.0","11.5","5.4","14.7","2.4","4.0","0.0","22.3","79","117"
"9","9","2018-11-04","27-272","ORL","@","SAS","W (+7)","0","31:24","6","12",".500","3","6",".500","2","2","1.000","0","3","3","4","0","0","0","3","17","13.5","+1",".660",".625","0.0","10.9","5.3","16.6","0.0","0.0","0.0","18.4","144","122"
"10","10","2018-11-05","27-273","ORL","","CLE","W (+2)","0","30:11","6","14",".429","3","9",".333","0","0","","0","2","2","1","1","0","3","0","15","6.9","+9",".536",".536","0.0","8.4","3.9","5.4","1.7","0.0","17.6","24.9","87","110"
"11","11","2018-11-07","27-275","ORL","","DET","L (-7)","0","27:33","6","12",".500","2","5",".400","1","2",".500","1","3","4","0","1","1","3","0","15","8.9","-24",".582",".583","4.1","11.1","7.7","0.0","1.7","3.3","18.9","24.9","87","103"
"12","12","2018-11-09","27-277","ORL","","WAS","W (+9)","0","29:44","5","11",".455","1","5",".200","1","2",".500","0","7","7","3","2","0","4","2","12","7.3","+6",".505",".500","0.0","30.5","14.9","13.5","3.3","0.0","25.2","23.4","83","106"
"13","13","2018-11-11","27-279","ORL","@","NYK","W (+26)","0","22:24","8","12",".667","5","8",".625","1","1","1.000","0","2","2","3","0","2","1","4","22","18.3","+18",".884",".875","0.0","7.8","4.0","23.9","0.0","7.1","7.4","25.3","151","90"
"14","14","2018-11-12","27-280","ORL","@","WAS","L (-8)","0","24:52","7","14",".500","4","5",".800","3","3","1.000","0","3","3","2","0","1","1","4","21","14.4","-9",".685",".643","0.0","17.5","7.7","13.1","0.0","4.2","6.1","29.8","128","125"
"15","15","2018-11-14","27-282","ORL","","PHI","W (+5)","0","31:07","6","9",".667","3","5",".600","0","0","","0","6","6","1","1","0","2","1","15","12.2","+13",".833",".833","0.0","22.0","11.9","5.0","1.6","0.0","18.2","17.0","123","112"
"16","16","2018-11-17","27-285","ORL","","LAL","W (+13)","0","16:18","4","5",".800","2","2","1.000","3","3","1.000","0","2","2","0","0","0","2","5","13","7.7","+9","1.028","1.000","0.0","15.5","7.2","0.0","0.0","0.0","24.0","21.1","141","118"
