"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"9","1","2018-11-03","34-185","UTA","@","DEN","L (-15)","0","3:02","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.6","0","117"
"10","2","2018-11-05","34-187","UTA","","TOR","L (-13)","0","6:17","0","0","","0","0","","1","2",".500","1","2","3","2","1","0","0","0","1","4.3","+7",".568","","15.9","43.7","27.6","40.2","7.7","0.0","0.0","5.8","171","110"
"14","3","2018-11-14","34-196","UTA","@","DAL","L (-50)","0","12:00","0","1",".000","0","1",".000","0","0","","0","3","3","0","0","0","0","0","0","0.2","-25",".000",".000","0.0","37.5","14.3","0.0","0.0","0.0","0.0","3.6","0","123"
"15","4","2018-11-16","34-198","UTA","@","PHI","L (-6)","0","10:53","1","1","1.000","0","0","","0","0","","0","6","6","1","0","0","1","0","2","3.2","+6","1.000","1.000","0.0","67.9","33.1","12.1","0.0","0.0","50.0","7.5","102","106"
"17","5","2018-11-19","34-201","UTA","@","IND","L (-27)","0","11:35","0","2",".000","0","0","","0","0","","1","2","3","1","0","1","1","1","0","-0.1","-3",".000",".000","11.5","18.8","15.5","11.5","0.0","6.1","33.3","12.6","43","125"
"19","6","2018-11-23","34-205","UTA","@","LAL","L (-7)","0","10:51","2","2","1.000","1","1","1.000","2","2","1.000","0","4","4","0","0","0","2","1","7","5.2","-5","1.215","1.250","0.0","45.4","20.1","0.0","0.0","0.0","41.0","19.4","112","90"
"20","7","2018-11-25","34-207","UTA","@","SAC","W (+21)","0","11:53","0","2",".000","0","2",".000","2","2","1.000","0","3","3","0","2","0","0","3","2","2.3","+10",".347",".000","0.0","28.2","14.3","0.0","7.5","0.0","0.0","9.3","89","91"
"21","8","2018-11-26","34-208","UTA","","IND","L (-33)","0","10:20","0","1",".000","0","1",".000","0","0","","0","0","0","0","1","0","1","2","0","-1.5","-15",".000",".000","0.0","0.0","0.0","0.0","4.7","0.0","50.0","8.8","0","119"
"23","9","2018-11-30","34-212","UTA","@","CHO","W (+8)","0","3:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","15.3","0","120"
"24","10","2018-12-02","34-214","UTA","@","MIA","L (-2)","0","6:39","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-5",".000",".000","0.0","13.4","7.2","0.0","0.0","0.0","0.0","6.6","0","111"
