"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-354","BRK","@","DET","L (-3)","0","17:25","0","2",".000","0","2",".000","0","0","","0","2","2","1","1","0","1","4","0","-1.7","+6",".000",".000","0.0","11.5","6.5","6.9","2.8","0.0","33.3","7.6","18","104"
"2","2","2018-10-19","24-356","BRK","","NYK","W (+2)","0","9:43","0","1",".000","0","0","","0","0","","1","1","2","0","0","0","1","1","0","-1.1","+1",".000",".000","13.7","9.0","10.9","0.0","0.0","0.0","50.0","9.2","32","117"
"40","3","2019-01-04","25-068","BRK","@","MEM","W (+9)","0","11:42","1","4",".250","0","1",".000","0","0","","1","1","2","1","0","0","1","0","2","0.3","0",".250",".250","10.3","9.1","9.7","12.9","0.0","0.0","20.0","18.6","64","104"
"41","4","2019-01-06","25-070","BRK","@","CHI","W (+17)","0","15:24","0","4",".000","0","2",".000","0","0","","0","0","0","2","0","1","0","0","0","-0.7","+8",".000",".000","0.0","0.0","0.0","14.8","0.0","4.5","0.0","12.3","36","111"
"42","5","2019-01-07","25-071","BRK","@","BOS","L (-21)","0","26:17","3","10",".300","1","8",".125","2","2","1.000","1","1","2","0","0","0","2","1","9","1.8","-13",".414",".350","4.0","4.2","4.1","0.0","0.0","0.0","15.5","21.1","75","118"
"43","6","2019-01-09","25-073","BRK","","ATL","W (+16)","0","17:51","1","7",".143","1","3",".333","0","0","","3","2","5","2","1","2","0","1","3","4.6","+17",".214",".214","15.5","10.0","12.7","13.3","2.6","8.4","0.0","15.1","91","94"
"44","7","2019-01-11","25-075","BRK","@","TOR","L (-17)","1","28:43","2","7",".286","1","6",".167","0","0","","0","2","2","0","1","0","0","4","5","0.9","-5",".357",".357","0.0","5.8","3.1","0.0","1.5","0.0","0.0","9.9","73","114"
"45","8","2019-01-14","25-078","BRK","","BOS","W (+7)","1","26:54","0","5",".000","0","4",".000","0","0","","0","4","4","1","0","0","0","4","0","-3.2","+7",".000",".000","0.0","13.7","7.4","4.8","0.0","0.0","0.0","7.8","16","108"
"46","9","2019-01-16","25-080","BRK","@","HOU","W (+3)","1","31:33","7","9",".778","3","4",".750","4","5",".800","2","3","5","0","0","0","2","3","21","16.2","+15",".938",".944","6.3","9.9","8.1","0.0","0.0","0.0","15.2","17.0","156","130"
"47","10","2019-01-18","25-082","BRK","@","ORL","W (+2)","1","28:43","2","8",".250","1","5",".200","1","1","1.000","1","2","3","1","0","0","0","3","6","2.0","-1",".355",".313","3.6","7.6","5.6","4.1","0.0","0.0","0.0","12.3","90","120"
