"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-143","CHO","","MIL","L (-1)","0","12:16","3","5",".600","0","1",".000","3","5",".600","1","4","5","0","1","0","1","3","9","6.6","+2",".625",".600","7.1","36.4","20.0","0.0","3.8","0.0","12.2","28.5","113","101"
"2","2","2018-10-19","24-145","CHO","@","ORL","W (+32)","0","17:18","2","5",".400","1","1","1.000","1","2",".500","3","2","5","2","1","0","2","4","6","4.4","+15",".510",".500","18.9","10.1","14.0","14.8","2.8","0.0","25.4","18.9","103","87"
"3","3","2018-10-20","24-146","CHO","@","MIA","W (+1)","0","12:20","3","6",".500","0","1",".000","2","2","1.000","4","4","8","1","0","0","1","1","8","8.3","-9",".581",".500","31.8","38.9","35.0","13.3","0.0","0.0","12.7","26.9","128","111"
"4","4","2018-10-22","24-148","CHO","@","TOR","L (-21)","0","17:59","4","6",".667","1","1","1.000","2","2","1.000","2","3","5","1","1","0","2","0","11","10.4","-7",".799",".750","9.7","25.0","15.3","8.8","2.7","0.0","22.5","20.3","128","124"
"5","5","2018-10-24","24-150","CHO","@","CHI","L (-2)","0","13:50","1","2",".500","0","0","","5","6",".833","1","4","5","0","0","0","0","2","7","6.7","-15",".754",".500","7.9","37.5","21.4","0.0","0.0","0.0","0.0","15.5","168","118"
"6","6","2018-10-26","24-152","CHO","","CHI","W (+29)","0","4:34","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","-2",".000",".000","0.0","22.4","12.5","0.0","0.0","0.0","0.0","9.6","0","115"
"8","7","2018-10-30","24-156","CHO","","MIA","W (+12)","0","18:24","3","5",".600","0","1",".000","2","2","1.000","3","5","8","1","1","1","2","3","8","8.5","+14",".680",".600","24.5","31.8","28.6","7.2","2.7","4.4","25.4","19.1","123","106"
"9","8","2018-11-01","24-158","CHO","","OKC","L (-4)","0","12:18","1","4",".250","1","1","1.000","0","0","","3","2","5","0","0","1","1","3","3","1.8","-3",".375",".375","25.5","14.5","19.5","0.0","0.0","6.6","20.0","16.3","88","107"
"10","9","2018-11-03","24-160","CHO","","CLE","W (+32)","0","20:00","4","4","1.000","0","0","","3","3","1.000","2","5","7","3","0","2","0","1","11","15.8","+25","1.034","1.000","13.7","29.3","22.1","17.0","0.0","8.7","0.0","11.4","216","91"
"11","10","2018-11-06","24-163","CHO","","ATL","W (+11)","0","15:39","2","2","1.000","1","1","1.000","4","4","1.000","2","7","9","1","2","1","1","2","9","13.5","+1","1.197","1.250","16.1","51.1","34.5","7.9","5.7","5.6","21.0","12.1","190","78"
"12","11","2018-11-09","24-166","CHO","@","PHI","L (-1)","0","20:22","4","9",".444","3","3","1.000","3","6",".500","3","1","4","1","0","2","1","5","14","9.6","+7",".601",".611","13.0","5.4","9.6","8.0","0.0","9.1","7.9","25.0","122","120"
"13","12","2018-11-11","24-168","CHO","@","DET","W (+10)","0","13:03","4","6",".667","1","2",".500","0","0","","2","1","3","1","0","1","2","4","9","5.9","-6",".750",".750","21.0","5.9","11.4","13.0","0.0","6.1","25.0","28.0","116","113"
"14","13","2018-11-13","24-170","CHO","@","CLE","L (-24)","0","6:37","1","4",".250","0","0","","0","0","","1","1","2","0","1","0","0","1","2","1.2","-8",".250",".250","12.5","18.6","15.0","0.0","7.6","0.0","0.0","25.8","65","106"
"15","14","2018-11-17","24-174","CHO","","PHI","L (-3)","0","12:45","0","5",".000","0","1",".000","1","2",".500","2","2","4","1","1","0","0","1","1","0.4","-12",".085",".000","15.7","17.0","16.3","9.9","3.6","0.0","0.0","19.1","51","101"
"16","15","2018-11-19","24-176","CHO","","BOS","W (+5)","0","15:36","5","8",".625","2","4",".500","2","3",".667","1","2","3","3","0","1","1","2","14","12.3","-6",".751",".750","7.5","14.0","10.9","33.4","0.0","5.4","9.7","28.4","147","110"
