"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-27","24-014","MEM","","PHO","W (+21)","0","4:31","0","0","","0","0","","2","2","1.000","0","2","2","0","0","0","1","0","2","1.6","-4","1.136","","0.0","51.8","28.7","0.0","0.0","0.0","53.2","19.8","109","99"
"13","2","2018-11-14","24-032","MEM","@","MIL","W (+3)","0","7:46","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","1","0","0","0","0.6","+3",".000",".000","0.0","31.7","15.8","0.0","0.0","13.4","0.0","5.9","0","108"
"30","3","2018-12-17","24-065","MEM","@","GSW","L (-17)","0","3:58","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","-1",".500",".500","0.0","26.9","14.6","0.0","0.0","0.0","0.0","23.5","88","113"
"40","4","2019-01-07","24-086","MEM","@","NOP","L (-19)","0","3:06","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","1.0","+3",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.8","92","122"
"43","5","2019-01-14","24-093","MEM","@","HOU","L (-18)","0","3:36","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","1","0","2","0.3","+4",".500",".500","0.0","32.5","16.9","0.0","0.0","0.0","33.3","38.2","58","118"
"44","6","2019-01-16","24-095","MEM","","MIL","L (-10)","0","6:06","0","1",".000","0","0","","1","4",".250","0","3","3","2","1","0","0","0","1","2.4","+19",".181",".000","0.0","59.0","24.1","42.5","7.6","0.0","0.0","18.1","68","93"
"46","7","2019-01-19","24-098","MEM","@","TOR","L (-29)","0","17:27","2","5",".400","1","2",".500","0","0","","0","1","1","1","0","0","1","0","5","2.3","-4",".500",".500","0.0","6.9","3.5","9.7","0.0","0.0","16.7","14.9","90","129"
"47","8","2019-01-21","24-100","MEM","","NOP","L (-20)","0","5:53","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","2","0","-2.2","-4",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.3","0","116"
"55","9","2019-02-05","24-115","MEM","","MIN","W (+2)","0","18:45","2","5",".400","1","2",".500","0","0","","1","3","4","0","0","0","0","1","5","3.5","-6",".500",".500","5.0","17.9","10.9","0.0","0.0","0.0","0.0","12.0","113","120"
"56","10","2019-02-07","24-117","MEM","@","OKC","L (-22)","0","26:46","3","8",".375","0","2",".000","4","4","1.000","0","5","5","1","1","0","1","0","10","7.8","-12",".512",".375","0.0","18.7","10.1","6.3","1.8","0.0","9.3","17.4","101","118"
"73","11","2019-03-23","24-161","MEM","","MIN","L (-13)","0","8:34","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","-1.5","+4",".000",".000","0.0","14.0","5.8","0.0","0.0","0.0","0.0","9.3","0","121"
"77","12","2019-03-31","24-169","MEM","@","LAC","L (-17)","0","21:31","0","4",".000","0","2",".000","0","0","","1","3","4","2","1","0","1","3","0","-1.0","+11",".000",".000","4.6","20.3","11.0","13.9","2.2","0.0","20.0","10.0","32","113"
"78","13","2019-04-03","24-172","MEM","@","POR","L (-27)","0","20:48","2","8",".250","0","1",".000","0","0","","0","1","1","1","0","0","0","1","4","-0.2","0",".250",".250","0.0","5.5","2.7","8.7","0.0","0.0","0.0","18.2","55","129"
"79","14","2019-04-05","24-174","MEM","@","DAL","W (+10)","0","6:24","1","1","1.000","0","0","","0","0","","0","2","2","1","1","0","1","1","2","2.6","+5","1.000","1.000","0.0","30.6","16.3","19.5","7.6","0.0","50.0","13.3","100","94"
"82","15","2019-04-10","24-179","MEM","","GSW","W (+15)","0","19:10","2","8",".250","0","3",".000","0","0","","2","2","4","0","0","0","0","2","4","0.4","+2",".250",".250","11.1","11.6","11.4","0.0","0.0","0.0","0.0","17.1","79","122"
