"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","DET","L","100","103","40","82",".488","5","27",".185","15","22",".682","5","39","28","9","5","17","23","","39","92",".424","6","24",".250","19","22",".864","14","46","21","5","5","14","20","100.0","103.0","100.0",".268",".329",".545","45.9","70.0","9.0","7.4","",".518","15.6","13.5",".183","",".457","12.1","70.8",".207"
"2","2","2018-10-19","","NYK","W","107","105","37","75",".493","12","30",".400","21","24",".875","12","55","22","2","6","22","23","","39","97",".402","9","28",".321","18","20",".900","12","36","14","10","1","3","19","114.1","112.0","93.8",".320",".400",".625","60.4","59.5","2.1","8.7","",".573","20.5","33.3",".280","",".448","2.8","78.2",".186"
"3","3","2018-10-20","@","IND","L","112","132","41","86",".477","16","37",".432","14","22",".636","9","40","25","6","6","20","18","","51","92",".554","16","24",".667","14","22",".636","10","40","21","12","5","10","18","109.9","129.5","101.9",".256",".430",".585","50.0","61.0","5.9","8.8","",".570","17.3","23.1",".163","",".641","9.0","75.6",".152"
"4","4","2018-10-24","@","CLE","W","102","86","38","87",".437","14","34",".412","12","15",".800","8","44","23","8","1","14","16","","34","89",".382","3","18",".167","15","16",".938","16","53","18","5","2","15","19","107.4","90.5","95.0",".172",".391",".545","45.4","60.5","8.4","1.4","",".517","13.0","17.8",".138","",".399","13.5","69.2",".169"
"5","5","2018-10-26","@","NOP","L","115","117","43","98",".439","19","40",".475","10","15",".667","16","54","26","6","8","18","22","","44","98",".449","9","23",".391","20","26",".769","15","46","23","11","11","11","20","112.2","114.1","102.5",".153",".408",".550","54.0","60.5","5.9","10.7","",".536","14.7","34.0",".102","",".495","9.1","71.7",".204"
"6","6","2018-10-28","","GSW","L","114","120","42","87",".483","20","42",".476","10","15",".667","5","37","28","5","3","15","20","","44","89",".494","11","33",".333","21","24",".875","12","47","28","11","7","12","16","114.3","120.3","99.7",".172",".483",".609","44.0","66.7","5.0","5.4","",".598","13.8","12.5",".115","",".556","10.8","72.7",".236"
"7","7","2018-10-29","@","NYK","L","96","115","34","84",".405","11","38",".289","17","22",".773","11","32","22","6","7","10","20","","45","92",".489","9","24",".375","16","18",".889","16","53","21","5","3","13","21","106.1","127.1","90.5",".262",".452",".512","37.6","64.7","6.6","10.3","",".470","9.6","22.9",".202","",".538","11.5","56.8",".174"
"8","8","2018-10-31","","DET","W","120","119","43","101",".426","12","38",".316","22","30",".733","18","55","26","5","3","16","33","","39","93",".419","11","34",".324","30","39",".769","14","55","16","8","6","16","30","109.7","108.8","99.1",".297",".376",".525","50.0","60.5","4.6","5.1","",".485","12.3","30.5",".218","",".478","12.7","72.5",".323"
"9","9","2018-11-02","","HOU","L","111","119","42","85",".494","15","34",".441","12","20",".600","9","38","22","5","4","10","28","","41","83",".494","15","39",".385","22","32",".688","11","41","22","4","10","9","21","120.1","128.8","92.4",".235",".400",".592","48.1","52.4","5.4","9.1","",".582","9.6","23.1",".141","",".584","8.5","72.5",".265"
"10","10","2018-11-04","","PHI","W","122","97","50","105",".476","9","28",".321","13","18",".722","15","38","27","11","3","9","28","","31","65",".477","4","20",".200","31","41",".756","9","46","16","6","1","27","21","120.6","95.9","101.2",".171",".267",".540","45.2","54.0","10.9","6.7","",".519","7.4","28.8",".124","",".508","24.5","71.9",".477"
