Rk,G,Date, ,Opp
1,1,2018-10-17,@,DET
2,2,2018-10-19,,NYK
3,3,2018-10-20,@,IND
4,4,2018-10-24,@,CLE
5,5,2018-10-26,@,NOP
6,6,2018-10-28,,GSW
7,7,2018-10-29,@,NYK
8,8,2018-10-31,,DET
9,9,2018-11-02,,HOU
10,10,2018-11-04,,PHI
11,11,2018-11-06,@,PHO
12,12,2018-11-09,@,DEN
13,13,2018-11-10,@,GSW
14,14,2018-11-12,@,MIN
15,15,2018-11-14,,MIA
16,16,2018-11-16,@,WAS
17,17,2018-11-17,,LAC
18,18,2018-11-20,@,MIA
19,19,2018-11-21,@,DAL
20,20,2018-11-23,,MIN
21,21,2018-11-25,,PHI
22,22,2018-11-28,,UTA
23,23,2018-11-30,,MEM
24,24,2018-12-01,@,WAS
25,25,2018-12-03,,CLE
26,26,2018-12-05,,OKC
27,27,2018-12-07,,TOR
28,28,2018-12-08,@,NYK
29,29,2018-12-12,@,PHI
30,30,2018-12-14,,WAS
31,31,2018-12-16,,ATL
32,32,2018-12-18,,LAL
33,33,2018-12-19,@,CHI
34,34,2018-12-21,,IND
35,35,2018-12-23,,PHO
36,36,2018-12-26,,CHO
37,37,2018-12-28,@,CHO
38,38,2018-12-29,@,MIL
39,39,2019-01-02,,NOP
40,40,2019-01-04,@,MEM
41,41,2019-01-06,@,CHI
42,42,2019-01-07,@,BOS
43,43,2019-01-09,,ATL
44,44,2019-01-11,@,TOR
45,45,2019-01-14,,BOS
46,46,2019-01-16,@,HOU
47,47,2019-01-18,@,ORL
48,48,2019-01-21,,SAC
49,49,2019-01-23,,ORL
50,50,2019-01-25,,NYK
51,51,2019-01-28,@,BOS
52,52,2019-01-29,,CHI
53,53,2019-01-31,@,SAS
54,54,2019-02-02,@,ORL
55,55,2019-02-04,,MIL
56,56,2019-02-06,,DEN
57,57,2019-02-08,,CHI
58,58,2019-02-11,@,TOR
59,59,2019-02-13,@,CLE
60,60,2019-02-21,,POR
61,61,2019-02-23,@,CHO
62,62,2019-02-25,,SAS
63,63,2019-02-27,,WAS
64,64,2019-03-01,,CHO
65,65,2019-03-02,@,MIA
66,66,2019-03-04,,DAL
67,67,2019-03-06,,CLE
68,68,2019-03-09,@,ATL
69,69,2019-03-11,,DET
70,70,2019-03-13,@,OKC
71,71,2019-03-16,@,UTA
72,72,2019-03-17,@,LAC
73,73,2019-03-19,@,SAC
74,74,2019-03-22,@,LAL
75,75,2019-03-25,@,POR
76,76,2019-03-28,@,PHI
77,77,2019-03-30,,BOS
78,78,2019-04-01,,MIL
79,79,2019-04-03,,TOR
80,80,2019-04-06,@,MIL
81,81,2019-04-07,@,IND
82,82,2019-04-10,,MIA
