Rk,G,Date, ,Opp
1,1,2018-10-17,,MIL
2,2,2018-10-19,@,ORL
3,3,2018-10-20,@,MIA
4,4,2018-10-22,@,TOR
5,5,2018-10-24,@,CHI
6,6,2018-10-26,,CHI
7,7,2018-10-27,@,PHI
8,8,2018-10-30,,MIA
9,9,2018-11-01,,OKC
10,10,2018-11-03,,CLE
11,11,2018-11-06,,ATL
12,12,2018-11-09,@,PHI
13,13,2018-11-11,@,DET
14,14,2018-11-13,@,CLE
15,15,2018-11-17,,PHI
16,16,2018-11-19,,BOS
17,17,2018-11-21,,IND
18,18,2018-11-23,@,OKC
19,19,2018-11-25,@,ATL
20,20,2018-11-26,,MIL
21,21,2018-11-28,,ATL
22,22,2018-11-30,,UTA
23,23,2018-12-02,,NOP
24,24,2018-12-05,@,MIN
25,25,2018-12-07,,DEN
26,26,2018-12-09,@,NYK
27,27,2018-12-12,,DET
28,28,2018-12-14,,NYK
29,29,2018-12-15,,LAL
30,30,2018-12-19,,CLE
31,31,2018-12-21,,DET
32,32,2018-12-23,@,BOS
33,33,2018-12-26,@,BRK
34,34,2018-12-28,,BRK
35,35,2018-12-29,@,WAS
36,36,2018-12-31,,ORL
37,37,2019-01-02,,DAL
38,38,2019-01-05,@,DEN
39,39,2019-01-06,@,PHO
40,40,2019-01-08,@,LAC
41,41,2019-01-11,@,POR
42,42,2019-01-12,@,SAC
43,43,2019-01-14,@,SAS
44,44,2019-01-17,,SAC
45,45,2019-01-19,,PHO
46,46,2019-01-20,@,IND
47,47,2019-01-23,@,MEM
48,48,2019-01-25,@,MIL
49,49,2019-01-28,,NYK
50,50,2019-01-30,@,BOS
51,51,2019-02-01,,MEM
52,52,2019-02-02,,CHI
53,53,2019-02-05,,LAC
54,54,2019-02-06,@,DAL
55,55,2019-02-09,@,ATL
56,56,2019-02-11,@,IND
57,57,2019-02-14,@,ORL
58,58,2019-02-22,,WAS
59,59,2019-02-23,,BRK
60,60,2019-02-25,,GSW
61,61,2019-02-27,,HOU
62,62,2019-03-01,@,BRK
63,63,2019-03-03,,POR
64,64,2019-03-06,,MIA
65,65,2019-03-08,,WAS
66,66,2019-03-09,@,MIL
67,67,2019-03-11,@,HOU
68,68,2019-03-15,@,WAS
69,69,2019-03-17,@,MIA
70,70,2019-03-19,,PHI
71,71,2019-03-21,,MIN
72,72,2019-03-23,,BOS
73,73,2019-03-24,@,TOR
74,74,2019-03-26,,SAS
75,75,2019-03-29,@,LAL
76,76,2019-03-31,@,GSW
77,77,2019-04-01,@,UTA
78,78,2019-04-03,@,NOP
79,79,2019-04-05,,TOR
80,80,2019-04-07,@,DET
81,81,2019-04-09,@,CLE
82,82,2019-04-10,,ORL
