Rk,G,Date, ,Opp
1,1,2018-10-17,@,PHO
2,2,2018-10-20,,MIN
3,3,2018-10-22,,CHI
4,4,2018-10-24,@,ATL
5,5,2018-10-26,@,TOR
6,6,2018-10-28,,UTA
7,7,2018-10-29,@,SAS
8,8,2018-10-31,@,LAL
9,9,2018-11-02,,NYK
10,10,2018-11-06,,WAS
11,11,2018-11-07,@,UTA
12,12,2018-11-10,,OKC
13,13,2018-11-12,@,CHI
14,14,2018-11-14,,UTA
15,15,2018-11-17,,GSW
16,16,2018-11-19,@,MEM
17,17,2018-11-21,,BRK
18,18,2018-11-24,,BOS
19,19,2018-11-28,@,HOU
20,20,2018-11-30,@,LAL
21,21,2018-12-02,,LAC
22,22,2018-12-04,,POR
23,23,2018-12-05,@,NOP
24,24,2018-12-08,,HOU
25,25,2018-12-10,,ORL
26,26,2018-12-12,,ATL
27,27,2018-12-13,@,PHO
28,28,2018-12-16,,SAC
29,29,2018-12-18,@,DEN
30,30,2018-12-20,@,LAC
31,31,2018-12-22,@,GSW
32,32,2018-12-23,@,POR
33,33,2018-12-26,,NOP
34,34,2018-12-28,@,NOP
35,35,2018-12-30,,OKC
36,36,2018-12-31,@,OKC
37,37,2019-01-02,@,CHO
38,38,2019-01-04,@,BOS
39,39,2019-01-05,@,PHI
40,40,2019-01-07,,LAL
41,41,2019-01-09,,PHO
42,42,2019-01-11,@,MIN
43,43,2019-01-13,,GSW
44,44,2019-01-16,,SAS
45,45,2019-01-19,@,IND
46,46,2019-01-21,@,MIL
47,47,2019-01-22,,LAC
48,48,2019-01-25,,DET
49,49,2019-01-27,,TOR
50,50,2019-01-30,@,NYK
51,51,2019-01-31,@,DET
52,52,2019-02-02,@,CLE
53,53,2019-02-06,,CHO
54,54,2019-02-08,,MIL
55,55,2019-02-10,,POR
56,56,2019-02-11,@,HOU
57,57,2019-02-13,,MIA
58,58,2019-02-22,,DEN
59,59,2019-02-23,@,UTA
60,60,2019-02-25,@,LAC
61,61,2019-02-27,,IND
62,62,2019-03-02,,MEM
63,63,2019-03-04,@,BRK
64,64,2019-03-06,@,WAS
65,65,2019-03-08,@,ORL
66,66,2019-03-10,,HOU
67,67,2019-03-12,,SAS
68,68,2019-03-14,@,DEN
69,69,2019-03-16,,CLE
70,70,2019-03-18,,NOP
71,71,2019-03-20,@,POR
72,72,2019-03-21,@,SAC
73,73,2019-03-23,@,GSW
74,74,2019-03-26,,SAC
75,75,2019-03-28,@,MIA
76,76,2019-03-31,@,OKC
77,77,2019-04-01,,PHI
78,78,2019-04-03,,MIN
79,79,2019-04-05,,MEM
80,80,2019-04-07,@,MEM
81,81,2019-04-09,,PHO
82,82,2019-04-10,@,SAS
