"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","BRK","W","103","100","39","92",".424","6","24",".250","19","22",".864","14","46","21","5","5","14","20","","40","82",".488","5","27",".185","15","22",".682","5","39","28","9","5","17","23","103.0","100.0","100.0",".239",".261",".506","54.1","53.8","5.0","9.1","",".457","12.1","29.2",".207","",".518","15.6","86.5",".183"
"2","2","2018-10-20","@","CHI","W","118","116","41","101",".406","18","40",".450","18","23",".783","18","49","21","4","4","9","23","","44","87",".506","7","21",".333","21","26",".808","5","41","26","4","3","11","20","118.1","116.1","99.9",".228",".396",".531","54.4","51.2","4.0","6.1","",".495","7.5","33.3",".178","",".546","10.1","86.1",".241"
"3","3","2018-10-23","","PHI","W","133","132","51","108",".472","12","33",".364","19","27",".704","12","46","22","4","4","8","24","","49","98",".500","14","43",".326","20","28",".714","8","48","32","3","8","11","24","119.3","118.4","101.0",".250",".306",".555","48.9","43.1","3.6","7.3","",".528","6.3","23.1",".176","",".571","9.1","81.0",".204"
"4","4","2018-10-25","","CLE","W","110","103","41","78",".526","11","28",".393","17","29",".586","13","48","21","4","5","20","21","","41","89",".461","8","24",".333","13","15",".867","7","30","18","11","1","9","25","115.3","108.0","95.4",".372",".359",".606","61.5","51.2","4.2","7.7","",".596","18.1","36.1",".218","",".506","8.6","83.3",".146"
"5","5","2018-10-27","","BOS","L","89","109","33","89",".371","7","37",".189","16","20",".800","6","47","16","4","3","11","24","","39","86",".453","14","34",".412","17","25",".680","8","54","25","4","8","13","26","88.2","108.0","100.9",".225",".416",".455","46.5","48.5","4.0","5.8","",".410","10.1","11.5",".180","",".535","11.8","83.7",".198"
"6","6","2018-10-30","@","BOS","L","105","108","37","88",".420","8","30",".267","23","27",".852","11","50","17","6","3","17","28","","37","84",".440","9","31",".290","25","32",".781","8","46","25","8","4","14","20","102.0","105.0","102.9",".307",".341",".526","52.1","45.9","5.8","5.7","",".466","14.5","22.4",".261","",".494","12.5","83.0",".298"
"7","7","2018-10-31","@","BRK","L","119","120","39","93",".419","11","34",".324","30","39",".769","14","55","16","8","6","16","30","","43","101",".426","12","38",".316","22","30",".733","18","55","26","5","3","16","33","108.8","109.7","99.1",".419",".366",".540","50.0","41.0","7.3","9.5","",".478","12.7","27.5",".323","",".485","12.3","69.5",".218"
"8","8","2018-11-03","@","PHI","L","99","109","33","83",".398","5","30",".167","28","41",".683","7","44","16","8","3","17","32","","28","69",".406","9","29",".310","44","51",".863","3","45","21","11","3","17","31","93.5","102.9","105.9",".494",".361",".490","49.4","48.5","7.6","7.5","",".428","14.4","14.3",".337","",".471","15.7","92.5",".638"
"9","9","2018-11-05","","MIA","L","115","120","43","105",".410","11","35",".314","18","28",".643","21","60","27","8","3","19","30","","44","98",".449","12","31",".387","20","31",".645","9","50","24","10","8","17","26","100.3","104.7","103.8",".267",".333",".490","54.5","62.8","7.0","4.5","",".462","13.9","33.9",".171","",".510","13.2","81.3",".204"
"10","10","2018-11-07","@","ORL","W","103","96","37","90",".411","11","37",".297","18","20",".900","13","50","21","13","1","19","15","","40","87",".460","9","27",".333","7","9",".778","6","40","28","10","8","20","19","100.5","93.7","102.4",".222",".411",".521","55.6","56.8","12.7","1.7","",".472","16.1","27.7",".200","",".511","18.0","86.0",".080"
