"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","MEM","W","111","83","47","83",".566","10","26",".385","7","13",".538","13","57","29","2","7","20","24","","25","84",".298","10","29",".345","23","28",".821","7","28","16","11","3","7","18","118.7","88.8","93.5",".157",".313",".626","67.1","61.7","2.1","12.7","",".627","18.4","38.2",".084","",".357","6.8","86.3",".274"
"2","2","2018-10-19","@","MIL","L","101","118","38","87",".437","6","18",".333","19","27",".704","9","41","14","7","3","17","25","","44","93",".473","17","46",".370","13","21",".619","11","50","27","9","8","17","26","96.2","112.4","105.0",".310",".207",".511","45.1","36.8","6.7","6.4","",".471","14.7","18.8",".218","",".565","14.3","74.4",".140"
"3","3","2018-10-20","","BRK","W","132","112","51","92",".554","16","24",".667","14","22",".636","10","40","21","12","5","10","18","","41","86",".477","16","37",".432","14","22",".636","9","40","25","6","6","20","18","129.5","109.9","101.9",".239",".261",".649","50.0","41.2","11.8","10.2","",".641","9.0","24.4",".152","",".570","17.3","76.9",".163"
"4","4","2018-10-22","@","MIN","L","91","101","36","92",".391","8","26",".308","11","16",".688","12","45","18","6","6","15","24","","36","85",".424","7","33",".212","22","24",".917","8","47","24","9","12","15","17","91.6","101.7","99.3",".174",".283",".459","48.9","50.0","6.0","11.5","",".435","13.2","23.5",".120","",".465","13.6","80.5",".259"
"5","5","2018-10-24","@","SAS","W","116","96","46","87",".529","17","32",".531","7","8",".875","5","40","34","9","5","10","22","","35","87",".402","6","19",".316","20","21",".952","15","46","16","3","3","13","16","124.9","103.3","92.9",".092",".368",".641","46.5","73.9","9.7","7.4","",".626","9.9","13.9",".080","",".437","11.9","70.0",".230"
"6","6","2018-10-27","@","CLE","W","119","107","48","74",".649","5","13",".385","18","26",".692","4","24","28","13","3","15","15","","40","86",".465","7","25",".280","20","22",".909","16","39","21","9","2","15","20","129.9","116.8","91.6",".351",".176",".696","38.1","58.3","14.2","4.9","",".682","14.9","14.8",".243","",".506","13.6","55.6",".233"
"7","7","2018-10-29","","POR","L","93","103","37","90",".411","6","19",".316","13","20",".650","7","35","19","8","5","8","20","","38","78",".487","10","26",".385","17","18",".944","9","50","19","3","3","18","23","97.6","108.1","95.3",".222",".211",".471","41.2","51.4","8.4","9.6","",".444","7.5","14.6",".144","",".551","17.3","75.7",".218"
"8","8","2018-10-31","@","NYK","W","107","101","45","83",".542","6","20",".300","11","17",".647","10","41","24","10","10","15","19","","34","79",".430","12","25",".480","21","24",".875","9","35","18","6","6","17","19","113.7","107.3","94.1",".205",".241",".591","53.9","53.3","10.6","18.5","",".578","14.2","27.8",".133","",".506","16.0","77.5",".266"
"9","9","2018-11-02","@","CHI","W","107","105","40","85",".471","7","26",".269","20","22",".909","9","42","21","8","9","11","13","","42","89",".472","13","31",".419","8","9",".889","11","43","33","2","7","14","20","113.7","111.5","94.1",".259",".306",".565","49.4","52.5","8.5","15.5","",".512","10.4","22.0",".235","",".545","13.1","75.0",".090"
"10","10","2018-11-03","","BOS","W","102","101","36","86",".419","11","32",".344","19","25",".760","8","45","23","10","2","13","16","","38","88",".432","19","46",".413","6","9",".667","10","45","23","6","8","14","20","105.6","104.5","96.6",".291",".372",".526","50.0","63.9","10.3","4.8","",".483","11.8","18.6",".221","",".540","13.2","78.7",".068"
