Rk,G,Date, ,Opp
1,1,2018-10-16,@,GSW
2,2,2018-10-19,@,LAC
3,3,2018-10-21,,SAC
4,4,2018-10-25,,BOS
5,5,2018-10-28,,PHO
6,6,2018-10-30,,LAC
7,7,2018-11-01,@,CHO
8,8,2018-11-02,@,WAS
9,9,2018-11-05,,NOP
10,10,2018-11-07,@,CLE
11,11,2018-11-08,,HOU
12,12,2018-11-10,@,DAL
13,13,2018-11-12,,PHO
14,14,2018-11-14,,NYK
15,15,2018-11-17,@,PHO
16,16,2018-11-19,@,SAC
17,17,2018-11-21,@,GSW
18,18,2018-11-23,,CHO
19,19,2018-11-24,,DEN
20,20,2018-11-28,,CLE
21,21,2018-11-30,,ATL
22,22,2018-12-03,@,DET
23,23,2018-12-05,@,BRK
24,24,2018-12-07,@,CHI
25,25,2018-12-10,,UTA
26,26,2018-12-12,@,NOP
27,27,2018-12-14,@,DEN
28,28,2018-12-15,,LAC
29,29,2018-12-17,,CHI
30,30,2018-12-19,@,SAC
31,31,2018-12-22,@,UTA
32,32,2018-12-23,,MIN
33,33,2018-12-25,@,HOU
34,34,2018-12-28,@,PHO
35,35,2018-12-30,@,DAL
36,36,2018-12-31,,DAL
37,37,2019-01-02,@,LAL
38,38,2019-01-04,@,POR
39,39,2019-01-06,,WAS
40,40,2019-01-08,,MIN
41,41,2019-01-10,@,SAS
42,42,2019-01-12,,SAS
43,43,2019-01-15,@,ATL
44,44,2019-01-17,,LAL
45,45,2019-01-19,@,PHI
46,46,2019-01-21,@,NYK
47,47,2019-01-22,,POR
48,48,2019-01-24,,NOP
49,49,2019-01-27,,MIL
50,50,2019-01-29,@,ORL
51,51,2019-02-01,@,MIA
52,52,2019-02-03,@,BOS
53,53,2019-02-05,,ORL
54,54,2019-02-07,,MEM
55,55,2019-02-09,@,HOU
56,56,2019-02-11,,POR
57,57,2019-02-14,@,NOP
58,58,2019-02-22,,UTA
59,59,2019-02-23,,SAC
60,60,2019-02-26,@,DEN
61,61,2019-02-28,,PHI
62,62,2019-03-02,@,SAS
63,63,2019-03-03,,MEM
64,64,2019-03-05,@,MIN
65,65,2019-03-07,@,POR
66,66,2019-03-08,@,LAC
67,67,2019-03-11,@,UTA
68,68,2019-03-13,,BRK
69,69,2019-03-14,@,IND
70,70,2019-03-16,,GSW
71,71,2019-03-18,,MIA
72,72,2019-03-20,,TOR
73,73,2019-03-22,@,TOR
74,74,2019-03-25,@,MEM
75,75,2019-03-27,,IND
76,76,2019-03-29,,DEN
77,77,2019-03-31,,DAL
78,78,2019-04-02,,LAL
79,79,2019-04-05,,DET
80,80,2019-04-07,@,MIN
81,81,2019-04-09,,HOU
82,82,2019-04-10,@,MIL
