Rk,G,Date, ,Opp
1,1,2018-10-16,@,BOS
2,2,2018-10-18,,CHI
3,3,2018-10-20,,ORL
4,4,2018-10-23,@,DET
5,5,2018-10-24,@,MIL
6,6,2018-10-27,,CHO
7,7,2018-10-29,,ATL
8,8,2018-10-30,@,TOR
9,9,2018-11-01,,LAC
10,10,2018-11-03,,DET
11,11,2018-11-04,@,BRK
12,12,2018-11-07,@,IND
13,13,2018-11-09,,CHO
14,14,2018-11-10,@,MEM
15,15,2018-11-12,@,MIA
16,16,2018-11-14,@,ORL
17,17,2018-11-16,,UTA
18,18,2018-11-17,@,CHO
19,19,2018-11-19,,PHO
20,20,2018-11-21,,NOP
21,21,2018-11-23,,CLE
22,22,2018-11-25,@,BRK
23,23,2018-11-28,,NYK
24,24,2018-11-30,,WAS
25,25,2018-12-02,,MEM
26,26,2018-12-05,@,TOR
27,27,2018-12-07,@,DET
28,28,2018-12-10,,DET
29,29,2018-12-12,,BRK
30,30,2018-12-14,,IND
31,31,2018-12-16,@,CLE
32,32,2018-12-17,@,SAS
33,33,2018-12-19,,NYK
34,34,2018-12-22,,TOR
35,35,2018-12-25,@,BOS
36,36,2018-12-27,@,UTA
37,37,2018-12-30,@,POR
38,38,2019-01-01,@,LAC
39,39,2019-01-02,@,PHO
40,40,2019-01-05,,DAL
41,41,2019-01-08,,WAS
42,42,2019-01-09,@,WAS
43,43,2019-01-11,,ATL
44,44,2019-01-13,@,NYK
45,45,2019-01-15,,MIN
46,46,2019-01-17,@,IND
47,47,2019-01-19,,OKC
48,48,2019-01-21,,HOU
49,49,2019-01-23,,SAS
50,50,2019-01-26,@,DEN
51,51,2019-01-29,@,LAL
52,52,2019-01-31,@,GSW
53,53,2019-02-02,@,SAC
54,54,2019-02-05,,TOR
55,55,2019-02-08,,DEN
56,56,2019-02-10,,LAL
57,57,2019-02-12,,BOS
58,58,2019-02-13,@,NYK
59,59,2019-02-21,,MIA
60,60,2019-02-23,,POR
61,61,2019-02-25,@,NOP
62,62,2019-02-28,@,OKC
63,63,2019-03-02,,GSW
64,64,2019-03-05,,ORL
65,65,2019-03-06,@,CHI
66,66,2019-03-08,@,HOU
67,67,2019-03-10,,IND
68,68,2019-03-12,,CLE
69,69,2019-03-15,,SAC
70,70,2019-03-17,@,MIL
71,71,2019-03-19,@,CHO
72,72,2019-03-20,,BOS
73,73,2019-03-23,@,ATL
74,74,2019-03-25,@,ORL
75,75,2019-03-28,,BRK
76,76,2019-03-30,@,MIN
77,77,2019-04-01,@,DAL
78,78,2019-04-03,@,ATL
79,79,2019-04-04,,MIL
80,80,2019-04-06,@,CHI
81,81,2019-04-09,@,MIA
82,82,2019-04-10,,CHI
