Rk,G,Date, ,Opp
1,1,2018-10-17,,DAL
2,2,2018-10-20,@,DEN
3,3,2018-10-22,@,GSW
4,4,2018-10-24,,LAL
5,5,2018-10-27,@,MEM
6,6,2018-10-28,@,OKC
7,7,2018-10-31,,SAS
8,8,2018-11-02,,TOR
9,9,2018-11-04,,MEM
10,10,2018-11-06,,BRK
11,11,2018-11-08,,BOS
12,12,2018-11-10,@,NOP
13,13,2018-11-12,@,OKC
14,14,2018-11-14,,SAS
15,15,2018-11-17,,OKC
16,16,2018-11-19,@,PHI
17,17,2018-11-21,@,CHI
18,18,2018-11-23,@,MIL
19,19,2018-11-25,@,DET
20,20,2018-11-27,,IND
21,21,2018-11-28,@,LAC
22,22,2018-11-30,,ORL
23,23,2018-12-02,@,LAL
24,24,2018-12-04,,SAC
25,25,2018-12-06,@,POR
26,26,2018-12-07,,MIA
27,27,2018-12-10,,LAC
28,28,2018-12-11,@,SAS
29,29,2018-12-13,,DAL
30,30,2018-12-15,,MIN
31,31,2018-12-17,@,NYK
32,32,2018-12-19,@,BOS
33,33,2018-12-22,@,WAS
34,34,2018-12-23,@,BRK
35,35,2018-12-26,@,ORL
36,36,2018-12-28,,OKC
37,37,2018-12-29,,DEN
38,38,2018-12-31,,GSW
39,39,2019-01-02,,PHI
40,40,2019-01-04,,LAC
41,41,2019-01-06,,CHO
42,42,2019-01-08,,SAC
43,43,2019-01-09,@,DAL
44,44,2019-01-12,,DEN
45,45,2019-01-15,@,IND
46,46,2019-01-17,@,TOR
47,47,2019-01-19,@,CHO
48,48,2019-01-20,@,MIN
49,49,2019-01-22,,MIN
50,50,2019-01-24,,POR
51,51,2019-01-25,@,DEN
52,52,2019-01-27,@,LAL
53,53,2019-01-29,@,SAS
54,54,2019-02-02,,ATL
55,55,2019-02-04,,HOU
56,56,2019-02-06,@,UTA
57,57,2019-02-08,,GSW
58,58,2019-02-10,@,SAC
59,59,2019-02-13,@,LAC
60,60,2019-02-21,@,CLE
61,61,2019-02-23,@,ATL
62,62,2019-02-25,@,MIA
63,63,2019-03-01,,NOP
64,64,2019-03-02,,LAL
65,65,2019-03-04,,MIL
66,66,2019-03-06,,NYK
67,67,2019-03-09,@,POR
68,68,2019-03-10,@,GSW
69,69,2019-03-13,,UTA
70,70,2019-03-15,@,HOU
71,71,2019-03-16,@,NOP
72,72,2019-03-18,,CHI
73,73,2019-03-21,,DET
74,74,2019-03-23,@,SAC
75,75,2019-03-25,@,UTA
76,76,2019-03-27,,WAS
77,77,2019-03-30,,MEM
78,78,2019-04-01,,CLE
79,79,2019-04-03,,UTA
80,80,2019-04-05,,NOP
81,81,2019-04-07,@,HOU
82,82,2019-04-09,@,DAL
