Rk,G,Date, ,Opp
1,1,2018-10-18,,LAL
2,2,2018-10-20,,SAS
3,3,2018-10-22,,WAS
4,4,2018-10-25,@,ORL
5,5,2018-10-27,@,MIA
6,6,2018-10-29,@,IND
7,7,2018-10-30,@,HOU
8,8,2018-11-01,,NOP
9,9,2018-11-03,,LAL
10,10,2018-11-04,,MIN
11,11,2018-11-06,,MIL
12,12,2018-11-08,,LAC
13,13,2018-11-11,,BOS
14,14,2018-11-14,@,LAL
15,15,2018-11-16,@,MIN
16,16,2018-11-18,@,WAS
17,17,2018-11-20,@,NYK
18,18,2018-11-21,@,MIL
19,19,2018-11-23,@,GSW
20,20,2018-11-25,,LAC
21,21,2018-11-28,,ORL
22,22,2018-11-30,,DEN
23,23,2018-12-02,@,SAS
24,24,2018-12-04,@,DAL
25,25,2018-12-06,,PHO
26,26,2018-12-08,,MIN
27,27,2018-12-11,@,HOU
28,28,2018-12-12,@,MEM
29,29,2018-12-14,,TOR
30,30,2018-12-17,@,LAC
31,31,2018-12-19,,MEM
32,32,2018-12-21,,UTA
33,33,2018-12-23,,DAL
34,34,2018-12-25,@,UTA
35,35,2018-12-27,@,GSW
36,36,2018-12-29,,GSW
37,37,2018-12-30,,PHI
38,38,2019-01-01,@,SAC
39,39,2019-01-04,,OKC
40,40,2019-01-05,,HOU
41,41,2019-01-07,,NYK
42,42,2019-01-09,,CHI
43,43,2019-01-11,,CHO
44,44,2019-01-13,@,DEN
45,45,2019-01-14,@,SAC
46,46,2019-01-16,,CLE
47,47,2019-01-18,,NOP
48,48,2019-01-21,@,UTA
49,49,2019-01-22,@,OKC
50,50,2019-01-24,@,PHO
51,51,2019-01-26,,ATL
52,52,2019-01-30,,UTA
53,53,2019-02-05,,MIA
54,54,2019-02-07,,SAS
55,55,2019-02-10,@,DAL
56,56,2019-02-11,@,OKC
57,57,2019-02-13,,GSW
58,58,2019-02-21,@,BRK
59,59,2019-02-23,@,PHI
60,60,2019-02-25,@,CLE
61,61,2019-02-27,@,BOS
62,62,2019-03-01,@,TOR
63,63,2019-03-03,@,CHO
64,64,2019-03-05,@,MEM
65,65,2019-03-07,,OKC
66,66,2019-03-09,,PHO
67,67,2019-03-12,@,LAC
68,68,2019-03-15,@,NOP
69,69,2019-03-16,@,SAS
70,70,2019-03-18,,IND
71,71,2019-03-20,,DAL
72,72,2019-03-23,,DET
73,73,2019-03-25,,BRK
74,74,2019-03-27,@,CHI
75,75,2019-03-29,@,ATL
76,76,2019-03-30,@,DET
77,77,2019-04-01,@,MIN
78,78,2019-04-03,,MEM
79,79,2019-04-05,@,DEN
80,80,2019-04-07,,DEN
81,81,2019-04-09,@,LAL
82,82,2019-04-10,,SAC
