"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","UTA","L","117","123","49","95",".516","7","19",".368","12","18",".667","5","37","17","8","3","9","27","","41","79",".519","13","27",".481","28","38",".737","5","44","21","8","4","17","19","110.7","116.4","105.7",".189",".200",".568","45.7","34.7","7.6","5.8","",".553","8.0","11.4",".126","",".601","15.1","86.5",".354"
"2","2","2018-10-19","@","NOP","L","129","149","50","96",".521","10","25",".400","19","26",".731","9","39","24","6","2","13","26","","56","95",".589","16","31",".516","21","33",".636","12","52","35","6","4","16","25","115.9","133.9","111.3",".271",".260",".600","42.9","48.0","5.4","3.1","",".573","10.8","18.4",".198","",".674","12.7","71.4",".221"
"3","3","2018-10-21","@","OKC","W","131","120","50","91",".549","10","22",".455","21","28",".750","12","46","28","11","7","17","26","","46","104",".442","9","39",".231","19","30",".633","18","51","23","11","9","18","29","119.1","109.1","110.0",".308",".242",".634","47.4","56.0","10.0","10.8","",".604","14.1","26.7",".231","",".486","13.3","65.4",".183"
"4","4","2018-10-23","@","DEN","L","112","126","45","86",".523","13","31",".419","9","20",".450","9","39","29","7","6","16","17","","51","99",".515","11","30",".367","13","15",".867","15","49","31","11","3","12","22","111.6","125.6","100.3",".233",".360",".591","44.3","64.4","7.0","8.7","",".599","14.4","20.9",".105","",".571","10.2","66.7",".131"
"5","5","2018-10-24","","MEM","W","97","92","35","83",".422","6","18",".333","21","33",".636","15","57","19","7","5","14","15","","36","94",".383","10","37",".270","10","13",".769","13","49","18","7","6","15","25","99.7","94.5","97.3",".398",".217",".497","53.8","54.3","7.2","8.8","",".458","12.6","29.4",".253","",".436","13.1","76.4",".106"
"6","6","2018-10-26","","WAS","W","116","112","44","95",".463","14","37",".378","14","23",".609","14","53","25","8","4","18","18","","40","86",".465","14","42",".333","18","23",".783","5","42","22","8","7","21","27","106.5","102.8","108.9",".242",".389",".552","55.8","56.8","7.3","9.1","",".537","14.6","27.5",".147","",".547","17.9","88.6",".209"
"7","7","2018-10-29","@","MIA","W","123","113","48","97",".495","12","26",".462","15","25",".600","9","46","28","8","8","12","23","","38","92",".413","13","39",".333","24","34",".706","13","52","20","10","9","18","21","113.0","103.8","108.9",".258",".268",".569","46.9","58.3","7.3","15.1","",".557","10.0","18.8",".155","",".484","14.4","74.0",".261"
"8","8","2018-10-30","@","ORL","W","107","99","41","84",".488","8","22",".364","17","26",".654","8","51","22","8","6","15","20","","36","91",".396","11","43",".256","16","22",".727","11","48","28","10","8","16","22","104.4","96.6","102.5",".310",".262",".561","51.5","53.7","7.8","12.5","",".536","13.6","17.8",".202","",".456","13.7","79.6",".176"
"9","9","2018-11-01","@","ATL","W","146","115","53","98",".541","14","35",".400","26","32",".813","10","46","38","14","3","14","29","","42","87",".483","8","31",".258","23","34",".676","10","43","26","6","6","22","28","129.4","101.9","112.9",".327",".357",".651","51.7","71.7","12.4","5.4","",".612","11.1","23.3",".265","",".529","17.7","78.3",".264"
"10","10","2018-11-04","@","MIL","L","109","144","42","95",".442","14","36",".389","11","22",".500","8","44","24","6","4","15","26","","46","95",".484","22","56",".393","30","33",".909","10","56","30","6","7","12","20","99.5","131.4","109.6",".232",".379",".521","44.0","57.1","5.5","10.3","",".516","12.5","14.8",".116","",".600","9.9","78.3",".316"
"11","11","2018-11-07","","TOR","L","105","114","42","88",".477","8","23",".348","13","18",".722","6","31","27","10","5","15","26","","41","89",".461","11","36",".306","21","23",".913","13","53","17","10","4","20","20","102.7","111.5","102.2",".205",".261",".547","36.9","64.3","9.8","9.4","",".523","13.5","13.0",".148","",".522","16.8","65.8",".236"
"12","12","2018-11-09","","MIN","W","121","110","43","95",".453","12","32",".375","23","29",".793","12","49","25","7","6","12","29","","39","94",".415","7","25",".280","25","31",".806","15","52","20","6","1","17","23","114.5","104.1","105.7",".305",".337",".561","48.5","58.1","6.6","8.7","",".516","10.0","24.5",".242","",".452","13.6","71.2",".266"
"13","13","2018-11-10","","LAL","L","86","101","32","92",".348","6","25",".240","16","20",".800","13","50","11","7","5","19","20","","41","99",".414","12","38",".316","7","17",".412","17","59","23","11","3","14","20","84.3","99.0","102.0",".217",".272",".427","45.9","34.4","6.9","8.2","",".380","15.9","23.6",".174","",".475","11.6","68.5",".071"
"14","14","2018-11-12","","SAS","W","104","99","43","86",".500","11","24",".458","7","12",".583","7","45","27","12","3","12","20","","38","87",".437","10","31",".323","13","16",".813","9","43","25","5","4","15","12","107.6","102.4","96.7",".140",".279",".570","51.1","62.8","12.4","5.4","",".564","11.6","17.1",".081","",".494","13.8","80.9",".149"
"15","15","2018-11-16","@","MEM","L","104","112","37","80",".463","12","33",".364","18","24",".750","9","42","23","9","2","21","24","","43","85",".506","11","25",".440","15","24",".625","9","40","24","11","5","13","23","104.9","113.0","99.1",".300",".413",".574","51.2","62.2","9.1","3.3","",".538","18.8","22.5",".225","",".571","12.0","78.6",".176"
"16","16","2018-11-17","@","HOU","L","112","132","46","102",".451","11","35",".314","9","12",".750","13","39","23","10","3","14","21","","46","81",".568","20","47",".426","20","24",".833","6","41","27","9","10","22","20","106.6","125.6","105.1",".118",".343",".522","48.8","50.0","9.5","8.8","",".505","11.5","27.1",".088","",".691","19.4","81.3",".247"
"17","17","2018-11-19","","OKC","W","117","113","45","102",".441","16","38",".421","11","17",".647","14","59","29","7","4","15","18","","45","108",".417","12","41",".293","11","16",".688","13","53","22","8","3","13","22","106.2","102.6","110.1",".167",".373",".534","52.7","64.4","6.4","6.0","",".520","12.1","25.9",".108","",".472","10.2","77.6",".102"
"18","18","2018-11-21","@","UTA","W","119","110","47","89",".528","11","25",".440","14","19",".737","8","48","27","5","4","11","30","","38","88",".432","12","39",".308","22","31",".710","12","46","21","7","7","10","21","120.8","111.6","98.5",".213",".281",".611","51.1","57.4","5.1","8.2","",".590","10.2","19.0",".157","",".500","9.0","76.9",".250"
