"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","CLE","W","116","104","45","92",".489","14","33",".424","12","20",".600","8","43","21","6","7","9","29","","34","85",".400","7","19",".368","29","39",".744","14","49","17","4","0","16","25","115.6","103.7","100.3",".217",".359",".575","46.7","46.7","6.0","10.6","",".565","8.2","18.6",".130","",".441","13.5","71.4",".341"
"2","2","2018-10-19","","BOS","W","113","101","43","92",".467","13","35",".371","14","19",".737","12","49","24","3","3","12","19","","40","99",".404","14","36",".389","7","10",".700","16","49","29","4","6","14","27","115.6","103.3","97.8",".207",".380",".563","50.0","55.8","3.1","4.8","",".538","10.7","26.7",".152","",".475","11.9","69.8",".071"
"3","3","2018-10-20","@","WAS","W","117","113","39","88",".443","10","29",".345","29","36",".806","14","52","21","5","5","17","29","","37","89",".416","13","39",".333","26","32",".813","9","37","20","11","9","11","27","114.7","110.7","102.0",".409",".330",".563","58.4","53.8","4.9","10.0","",".500","14.1","33.3",".330","",".489","9.6","80.9",".292"
"4","4","2018-10-22","","CHO","W","127","106","50","87",".575","15","39",".385","12","14",".857","5","46","36","10","8","13","21","","41","97",".423","9","28",".321","15","18",".833","14","41","21","5","5","12","14","126.8","105.8","100.2",".161",".448",".682","52.9","72.0","10.0","11.6","",".661","12.2","15.6",".138","",".469","10.3","74.5",".155"
"5","5","2018-10-24","","MIN","W","112","105","46","89",".517","11","32",".344","9","12",".750","11","44","26","9","8","16","18","","40","96",".417","15","30",".500","10","16",".625","16","44","25","10","5","15","17","115.1","107.9","97.3",".135",".360",".594","50.0","56.5","9.2","12.1","",".579","14.5","28.2",".101","",".495","12.7","67.3",".104"
"6","6","2018-10-26","","DAL","W","116","107","44","91",".484","11","27",".407","17","20",".850","12","50","23","10","5","12","22","","38","92",".413","12","30",".400","19","24",".792","10","44","22","6","6","14","17","115.2","106.2","100.7",".220",".297",".581","53.2","52.3","9.9","8.1","",".544","10.7","26.1",".187","",".478","12.0","79.2",".207"
"7","7","2018-10-29","@","MIL","L","109","124","39","103",".379","9","45",".200","22","28",".786","15","51","25","9","7","10","19","","45","92",".489","19","45",".422","15","19",".789","8","57","28","5","4","17","21","101.1","115.0","107.8",".272",".437",".473","47.2","64.1","8.3","14.9","",".422","8.0","23.4",".214","",".592","14.5","81.8",".163"
"8","8","2018-10-30","","PHI","W","129","112","47","92",".511","11","27",".407","24","28",".857","9","43","29","13","6","15","26","","38","91",".418","14","40",".350","22","30",".733","17","47","25","7","5","23","24","120.5","104.6","107.1",".304",".293",".618","47.8","61.7","12.1","11.8","",".571","12.6","23.1",".261","",".495","18.1","66.7",".242"
"9","9","2018-11-02","@","PHO","W","107","98","41","81",".506","12","33",".364","13","21",".619","6","39","29","11","10","13","23","","40","91",".440","8","26",".308","10","18",".556","12","49","20","3","4","15","18","109.7","100.5","97.5",".259",".407",".593","44.3","70.7","11.3","15.4","",".580","12.6","14.0",".160","",".484","13.2","73.3",".110"
"10","10","2018-11-04","@","LAL","W","121","107","49","98",".500","10","35",".286","13","14",".929","13","49","32","9","4","12","24","","39","85",".459","6","24",".250","23","29",".793","6","38","25","6","4","16","18","117.5","103.9","103.0",".143",".357",".581","56.3","65.3","8.7","6.6","",".551","10.3","28.9",".133","",".494","14.1","85.7",".271"
