Rk,G,Date, ,Opp
1,1,2018-10-17,,CLE
2,2,2018-10-19,,BOS
3,3,2018-10-20,@,WAS
4,4,2018-10-22,,CHO
5,5,2018-10-24,,MIN
6,6,2018-10-26,,DAL
7,7,2018-10-29,@,MIL
8,8,2018-10-30,,PHI
9,9,2018-11-02,@,PHO
10,10,2018-11-04,@,LAL
11,11,2018-11-05,@,UTA
12,12,2018-11-07,@,SAC
13,13,2018-11-10,,NYK
14,14,2018-11-12,,NOP
15,15,2018-11-14,,DET
16,16,2018-11-16,@,BOS
17,17,2018-11-17,@,CHI
18,18,2018-11-20,@,ORL
19,19,2018-11-21,@,ATL
20,20,2018-11-23,,WAS
21,21,2018-11-25,,MIA
22,22,2018-11-27,@,MEM
23,23,2018-11-29,,GSW
24,24,2018-12-01,@,CLE
25,25,2018-12-03,,DEN
26,26,2018-12-05,,PHI
27,27,2018-12-07,@,BRK
28,28,2018-12-09,,MIL
29,29,2018-12-11,@,LAC
30,30,2018-12-12,@,GSW
31,31,2018-12-14,@,POR
32,32,2018-12-16,@,DEN
33,33,2018-12-19,,IND
34,34,2018-12-21,,CLE
35,35,2018-12-22,@,PHI
36,36,2018-12-26,@,MIA
37,37,2018-12-28,@,ORL
38,38,2018-12-30,,CHI
39,39,2019-01-01,,UTA
40,40,2019-01-03,@,SAS
41,41,2019-01-05,@,MIL
42,42,2019-01-06,,IND
43,43,2019-01-08,,ATL
44,44,2019-01-11,,BRK
45,45,2019-01-13,@,WAS
46,46,2019-01-16,@,BOS
47,47,2019-01-17,,PHO
48,48,2019-01-19,,MEM
49,49,2019-01-22,,SAC
50,50,2019-01-23,@,IND
51,51,2019-01-25,@,HOU
52,52,2019-01-27,@,DAL
53,53,2019-01-31,,MIL
54,54,2019-02-03,,LAC
55,55,2019-02-05,@,PHI
56,56,2019-02-07,@,ATL
57,57,2019-02-09,@,NYK
58,58,2019-02-11,,BRK
59,59,2019-02-13,,WAS
60,60,2019-02-22,,SAS
61,61,2019-02-24,,ORL
62,62,2019-02-26,,BOS
63,63,2019-03-01,,POR
64,64,2019-03-03,@,DET
65,65,2019-03-05,,HOU
66,66,2019-03-08,@,NOP
67,67,2019-03-10,@,MIA
68,68,2019-03-11,@,CLE
69,69,2019-03-14,,LAL
70,70,2019-03-17,@,DET
71,71,2019-03-18,,NYK
72,72,2019-03-20,@,OKC
73,73,2019-03-22,,OKC
74,74,2019-03-24,,CHO
75,75,2019-03-26,,CHI
76,76,2019-03-28,@,NYK
77,77,2019-03-30,@,CHI
78,78,2019-04-01,,ORL
79,79,2019-04-03,@,BRK
80,80,2019-04-05,@,CHO
81,81,2019-04-07,,MIA
82,82,2019-04-09,@,MIN
